25.5,-63,-169.7,-0.0191,0.00245,1000
26,-63,-169.7,-0.01929,0.00261,1000
26.5,-63,-169.7,-0.01942,0.00252,1000
27,-63,-169.7,-0.01949,0.00253,1000
27.5,-63,-169.7,-0.01948,0.00259,1000
28,-63,-169.7,-0.01923,0.0026,1000
28.5,-63,-169.7,-0.01941,0.00256,1000
29,-63,-169.7,-0.01962,0.00253,1000
29.5,-63,-169.7,-0.01942,0.00255,1000
30,-63,-169.7,-0.01931,0.0025,1000
30.5,-63,-169.7,-0.01921,0.00253,1000
31,-63,-169.7,-0.01906,0.00255,1000
31.5,-63,-169.7,-0.01903,0.00248,1000
32,-63,-169.7,-0.0186,0.0025,1000
32.5,-63,-169.7,-0.01852,0.00252,1000
2.5,-63.5,-169.7,-0.01833,0.00258,1000
3,-63.5,-169.7,-0.01838,0.00237,1000
3.5,-63.5,-169.7,-0.01842,0.00251,1000
4,-63.5,-169.7,-0.01859,0.00256,1000
4.5,-63.5,-169.7,-0.01847,0.00245,1000
5,-63.5,-169.7,-0.01833,0.00255,1000
5.5,-63.5,-169.7,-0.01831,0.00258,1000
6,-63.5,-169.7,-0.01797,0.00257,1000
6.5,-63.5,-169.7,-0.01785,0.0025,1000
7,-63.5,-169.7,-0.01751,0.00249,1000
7.5,-63.5,-169.7,-0.01734,0.00258,1000
8,-63.5,-169.7,-0.01675,0.00255,1000
8.5,-63.5,-169.7,-0.01624,0.00251,1000
9,-63.5,-169.7,-0.01582,0.00252,1000
9.5,-63.5,-169.7,-0.01522,0.00249,1000
10,-63.5,-169.7,-0.01446,0.00254,1000
10.5,-63.5,-169.7,-0.01413,0.0024,1000
11,-63.5,-169.7,-0.01354,0.00249,1000
11.5,-63.5,-169.7,-0.01317,0.00254,1000
12,-63.5,-169.7,-0.01263,0.0025,1000
12.5,-63.5,-169.7,-0.01195,0.0024,1000
13,-63.5,-169.7,-0.01151,0.00256,1000
13.5,-63.5,-169.7,-0.01124,0.00242,1000
14,-63.5,-169.7,-0.01073,0.00252,1000
14.5,-63.5,-169.7,-0.01038,0.00252,1000
15,-63.5,-169.7,-0.01021,0.00254,1000
15.5,-63.5,-169.7,-0.00977,0.00256,1000
16,-63.5,-169.7,-0.00953,0.00252,1000
16.5,-63.5,-169.7,-0.00967,0.00258,1000
17,-63.5,-169.7,-0.00953,0.00253,1000
17.5,-63.5,-169.7,-0.00942,0.00256,1000
18,-63.5,-169.7,-0.00971,0.00254,1000
18.5,-63.5,-169.7,-0.01004,0.00253,1000
19,-63.5,-169.7,-0.0106,0.00256,1000
19.5,-63.5,-169.7,-0.01129,0.00254,1000
20,-63.5,-169.7,-0.01182,0.00247,1000
20.5,-63.5,-169.7,-0.01245,0.00243,1000
21,-63.5,-169.7,-0.01355,0.00248,1000
21.5,-63.5,-169.7,-0.01397,0.00245,1000
22,-63.5,-169.7,-0.01519,0.00245,1000
22.5,-63.5,-169.7,-0.01564,0.00245,1000
23,-63.5,-169.7,-0.0165,0.00252,1000
23.5,-63.5,-169.7,-0.01696,0.00254,1000
24,-63.5,-169.7,-0.01753,0.00241,1000
24.5,-63.5,-169.7,-0.01795,0.0025,1000
25,-63.5,-169.7,-0.01847,0.0024,1000
25.5,-63.5,-169.7,-0.01883,0.00247,1000
26,-63.5,-169.7,-0.01939,0.00251,1000
26.5,-63.5,-169.7,-0.01891,0.00247,1000
27,-63.5,-169.7,-0.01932,0.00237,1000
27.5,-63.5,-169.7,-0.01921,0.00242,1000
28,-63.5,-169.7,-0.0196,0.00248,1000
28.5,-63.5,-169.7,-0.01976,0.00252,1000
29,-63.5,-169.7,-0.01951,0.00258,1000
29.5,-63.5,-169.7,-0.01949,0.00261,1000
30,-63.5,-169.7,-0.01948,0.00261,1000
30.5,-63.5,-169.7,-0.01942,0.00257,1000
31,-63.5,-169.7,-0.01937,0.00249,1000
31.5,-63.5,-169.7,-0.01895,0.00253,1000
32,-63.5,-169.7,-0.01892,0.00252,1000
32.5,-63.5,-169.7,-0.01865,0.0025,1000
2.5,-64,-169.7,-0.01846,0.00256,1000
3,-64,-169.7,-0.01852,0.00256,1000
3.5,-64,-169.7,-0.01847,0.0025,1000
4,-64,-169.7,-0.01869,0.00253,1000
4.5,-64,-169.7,-0.01849,0.00252,1000
5,-64,-169.7,-0.01843,0.00251,1000
5.5,-64,-169.7,-0.01821,0.0025,1000
6,-64,-169.7,-0.0179,0.00246,1000
6.5,-64,-169.7,-0.01755,0.00253,1000
7,-64,-169.7,-0.01729,0.00247,1000
7.5,-64,-169.7,-0.01656,0.00244,1000
8,-64,-169.7,-0.01622,0.00239,1000
8.5,-64,-169.7,-0.01527,0.00256,1000
9,-64,-169.7,-0.01448,0.0025,1000
9.5,-64,-169.7,-0.01399,0.00245,1000
10,-64,-169.7,-0.01314,0.00249,1000
10.5,-64,-169.7,-0.01263,0.00242,1000
11,-64,-169.7,-0.01222,0.00253,1000
11.5,-64,-169.7,-0.01158,0.00248,1000
12,-64,-169.7,-0.01061,0.00252,1000
12.5,-64,-169.7,-0.00974,0.00254,1000
13,-64,-169.7,-0.00895,0.00245,1000
13.5,-64,-169.7,-0.00851,0.00252,1000
14,-64,-169.7,-0.00807,0.00254,1000
14.5,-64,-169.7,-0.00746,0.00255,1000
15,-64,-169.7,-0.00725,0.00252,1000
15.5,-64,-169.7,-0.00667,0.00253,1000
16,-64,-169.7,-0.00624,0.00239,1000
16.5,-64,-169.7,-0.00619,0.00252,1000
17,-64,-169.7,-0.00596,0.00249,1000
17.5,-64,-169.7,-0.00619,0.00256,1000
18,-64,-169.7,-0.00656,0.00251,1000
18.5,-64,-169.7,-0.00703,0.00252,1000
19,-64,-169.7,-0.00788,0.00247,1000
19.5,-64,-169.7,-0.00844,0.00257,1000
20,-64,-169.7,-0.0092,0.00257,1000
20.5,-64,-169.7,-0.01051,0.00252,1000
21,-64,-169.7,-0.0113,0.0025,1000
21.5,-64,-169.7,-0.01213,0.00255,1000
22,-64,-169.7,-0.01303,0.00241,1000
22.5,-64,-169.7,-0.0145,0.00238,1000
23,-64,-169.7,-0.01505,0.0025,1000
23.5,-64,-169.7,-0.01609,0.00244,1000
24,-64,-169.7,-0.01699,0.0025,1000
24.5,-64,-169.7,-0.01736,0.00251,1000
25,-64,-169.7,-0.01804,0.00257,1000
25.5,-64,-169.7,-0.01848,0.00263,1000
26,-64,-169.7,-0.01882,0.00268,1000
26.5,-64,-169.7,-0.01908,0.00252,1000
27,-64,-169.7,-0.01927,0.00244,1000
27.5,-64,-169.7,-0.01939,0.00259,1000
28,-64,-169.7,-0.01954,0.00256,1000
28.5,-64,-169.7,-0.01966,0.00238,1000
29,-64,-169.7,-0.01996,0.00238,1000
29.5,-64,-169.7,-0.01957,0.00251,1000
30,-64,-169.7,-0.01948,0.0025,1000
30.5,-64,-169.7,-0.01957,0.00248,1000
31,-64,-169.7,-0.01952,0.00253,1000
31.5,-64,-169.7,-0.01972,0.00244,1000
32,-64,-169.7,-0.01918,0.00266,1000
32.5,-64,-169.7,-0.01913,0.00259,1000
2.5,-64.5,-169.7,-0.01854,0.00245,1000
3,-64.5,-169.7,-0.01833,0.00236,1000
3.5,-64.5,-169.7,-0.01881,0.00251,1000
4,-64.5,-169.7,-0.01841,0.00236,1000
4.5,-64.5,-169.7,-0.01833,0.00247,1000
5,-64.5,-169.7,-0.01838,0.00245,1000
5.5,-64.5,-169.7,-0.01807,0.00253,1000
6,-64.5,-169.7,-0.01755,0.00248,1000
6.5,-64.5,-169.7,-0.01715,0.00263,1000
7,-64.5,-169.7,-0.0165,0.00251,1000
7.5,-64.5,-169.7,-0.01587,0.00247,1000
8,-64.5,-169.7,-0.01549,0.00247,1000
8.5,-64.5,-169.7,-0.01418,0.00237,1000
9,-64.5,-169.7,-0.01329,0.00252,1000
9.5,-64.5,-169.7,-0.01235,0.00247,1000
10,-64.5,-169.7,-0.01115,0.00251,1000
10.5,-64.5,-169.7,-0.01039,0.00257,1000
11,-64.5,-169.7,-0.01,0.00247,1000
11.5,-64.5,-169.7,-0.00839,0.00255,1000
12,-64.5,-169.7,-0.00752,0.00254,1000
12.5,-64.5,-169.7,-0.00697,0.00242,1000
13,-64.5,-169.7,-0.00589,0.00252,1000
13.5,-64.5,-169.7,-0.00485,0.00248,1000
14,-64.5,-169.7,-0.00423,0.00247,1000
14.5,-64.5,-169.7,-0.00373,0.00246,1000
15,-64.5,-169.7,-0.00305,0.00261,1000
15.5,-64.5,-169.7,-0.00243,0.00247,1000
16,-64.5,-169.7,-0.00218,0.00245,1000
16.5,-64.5,-169.7,-0.00195,0.00254,1000
17,-64.5,-169.7,-0.00251,0.00248,1000
17.5,-64.5,-169.7,-0.00199,0.00252,1000
18,-64.5,-169.7,-0.00257,0.00252,1000
18.5,-64.5,-169.7,-0.00341,0.00243,1000
19,-64.5,-169.7,-0.00405,0.00245,1000
19.5,-64.5,-169.7,-0.00516,0.00243,1000
20,-64.5,-169.7,-0.00597,0.00254,1000
20.5,-64.5,-169.7,-0.00723,0.00255,1000
21,-64.5,-169.7,-0.00834,0.00251,1000
21.5,-64.5,-169.7,-0.00945,0.00263,1000
22,-64.5,-169.7,-0.01086,0.00251,1000
22.5,-64.5,-169.7,-0.01218,0.00242,1000
23,-64.5,-169.7,-0.01329,0.00243,1000
23.5,-64.5,-169.7,-0.01433,0.00254,1000
24,-64.5,-169.7,-0.0155,0.00251,1000
24.5,-64.5,-169.7,-0.01602,0.00244,1000
25,-64.5,-169.7,-0.01703,0.00253,1000
25.5,-64.5,-169.7,-0.01757,0.00247,1000
26,-64.5,-169.7,-0.01763,0.00242,1000
26.5,-64.5,-169.7,-0.01847,0.00264,1000
27,-64.5,-169.7,-0.01881,0.00249,1000
27.5,-64.5,-169.7,-0.01919,0.00248,1000
28,-64.5,-169.7,-0.01941,0.00261,1000
28.5,-64.5,-169.7,-0.01937,0.00257,1000
29,-64.5,-169.7,-0.01963,0.00264,1000
29.5,-64.5,-169.7,-0.01977,0.00246,1000
30,-64.5,-169.7,-0.01982,0.00243,1000
30.5,-64.5,-169.7,-0.01974,0.00244,1000
31,-64.5,-169.7,-0.01954,0.00242,1000
31.5,-64.5,-169.7,-0.01944,0.00241,1000
32,-64.5,-169.7,-0.01929,0.00257,1000
32.5,-64.5,-169.7,-0.01949,0.00254,1000
2.5,-65,-169.7,-0.01867,0.00254,1000
3,-65,-169.7,-0.01842,0.00241,1000
3.5,-65,-169.7,-0.01869,0.00255,1000
4,-65,-169.7,-0.01847,0.00262,1000
4.5,-65,-169.7,-0.01781,0.00263,1000
5,-65,-169.7,-0.01794,0.0024,1000
5.5,-65,-169.7,-0.01716,0.00244,1000
6,-65,-169.7,-0.01724,0.00251,1000
6.5,-65,-169.7,-0.01637,0.00243,1000
7,-65,-169.7,-0.01557,0.00249,1000
7.5,-65,-169.7,-0.01483,0.00252,1000
8,-65,-169.7,-0.01359,0.0025,1000
8.5,-65,-169.7,-0.01284,0.0025,1000
9,-65,-169.7,-0.0115,0.00243,1000
9.5,-65,-169.7,-0.01055,0.00253,1000
10,-65,-169.7,-0.00922,0.00246,1000
10.5,-65,-169.7,-0.00783,0.00255,1000
11,-65,-169.7,-0.0067,0.00253,1000
11.5,-65,-169.7,-0.00543,0.00253,1000
12,-65,-169.7,-0.00405,0.00246,1000
12.5,-65,-169.7,-0.00263,0.00255,1000
13,-65,-169.7,-0.00149,0.00247,1000
13.5,-65,-169.7,-0.000435,0.00255,1000
14,-65,-169.7,0.000606,0.00255,1000
14.5,-65,-169.7,0.0012,0.00264,1000
