27/11/2023 10:23:50 am
Time(s)	Displacement(mm) Force(N)
89.9512	50.0000	0.7223
90.0515	50.0000	0.7218
90.1512	50.0000	0.7237
90.2518	50.0000	0.7202
90.3527	50.0000	0.7214
90.4518	50.0000	0.7215
90.5527	50.0000	0.7240
90.6527	50.0000	0.7209
90.7522	50.0000	0.7205
90.8527	50.0000	0.7228
90.9527	50.0000	0.7216
91.0527	50.0000	0.7216
91.1522	50.0000	0.7221
91.2522	50.0000	0.7214
91.3528	50.0000	0.7217
91.4528	50.0000	0.7222
91.5527	50.0000	0.7236
91.6526	50.0000	0.7228
91.7536	50.0000	0.7241
91.8536	50.0000	0.7229
91.9534	50.0000	0.7223
92.0546	50.0000	0.7224
92.1546	50.0000	0.7270
92.2541	50.0000	0.7194
92.3539	50.0000	0.7208
92.4539	50.0000	0.7254
92.5543	50.0000	0.7222
92.6541	50.0000	0.7216
92.7543	50.0000	0.7246
92.8542	50.0000	0.7246
92.9544	50.0000	0.7212
93.0539	50.0000	0.7238
93.1549	50.0000	0.7236
93.2549	50.0000	0.7233
93.3567	50.0000	0.7217
93.4561	50.0000	0.7240
93.5559	50.0000	0.7195
93.6560	50.0000	0.7253
93.7567	50.0000	0.7219
93.8568	50.0000	0.7212
93.9578	50.0000	0.7217
94.0570	50.0000	0.7233
94.1570	50.0000	0.7230
94.2574	50.0000	0.7234
94.3573	50.0000	0.7225
94.4569	50.0000	0.7238
94.5579	50.0000	0.7210
94.6581	50.0000	0.7226
94.7584	50.0000	0.7241
94.8587	50.0000	0.7215
94.9590	50.0000	0.7227
95.0600	50.0000	0.7235
95.1604	50.0000	0.7247
95.2605	50.0000	0.7241
95.3601	50.0000	0.7224
95.4603	50.0000	0.7235
95.5604	50.0000	0.7231
95.6605	50.0000	0.7227
95.7605	50.0000	0.7252
95.8607	50.0000	0.7239
95.9608	50.0000	0.7218
96.0608	50.0000	0.7231
96.1609	50.0000	0.7252
96.2610	50.0000	0.7228
96.3609	50.0000	0.7239
96.4611	50.0000	0.7239
96.5609	50.0000	0.7243
96.6618	50.0000	0.7200
96.7619	50.0000	0.7242
96.8628	50.0000	0.7234
96.9628	50.0000	0.7237
97.0628	50.0000	0.7246
97.1628	50.0000	0.7237
97.2621	50.0000	0.7228
97.3622	50.0000	0.7258
97.4628	50.0000	0.7272
97.5628	50.0000	0.7226
97.6627	50.0000	0.7246
97.7628	50.0000	0.7213
97.8628	50.0000	0.7222
97.9628	50.0000	0.7225
98.0628	50.0000	0.7233
98.1628	50.0000	0.7231
98.2628	50.0000	0.7228
98.3628	50.0000	0.7242
98.4622	50.0000	0.7241
98.5628	50.0000	0.7237
98.6625	50.0000	0.7220
98.7623	50.0000	0.7240
98.8620	50.0000	0.7235
98.9619	50.0000	0.7236
99.0626	50.0000	0.7218
99.1628	50.0000	0.7245
99.2628	50.0000	0.7236
99.3628	50.0000	0.7242
99.4624	50.0000	0.7235
99.5628	50.0000	0.7240
99.6623	50.0000	0.7253
99.7625	50.0000	0.7218
99.8620	50.0000	0.7248
99.9631	50.0000	0.7216
100.0630	50.0000	0.7225
100.1630	50.0000	0.7237
100.2629	50.0000	0.7257
100.3632	50.0000	0.7236
100.4632	50.0000	0.7245
100.5635	50.0000	0.7247
100.6640	50.0000	0.7245
100.7649	50.0000	0.7227
100.8652	50.0000	0.7278
100.9651	50.0000	0.7252
101.0653	50.0000	0.7255
101.1651	50.0000	0.7217
101.2652	50.0000	0.7237
101.3651	50.0000	0.7259
101.4653	50.0000	0.7203
101.5652	50.0000	0.7239
101.6652	50.0000	0.7278
101.7653	50.0000	0.7227
101.8657	50.0000	0.7253
101.9652	50.0000	0.7259
102.0652	50.0000	0.7245
102.1660	50.0000	0.7263
102.2660	50.0000	0.7245
102.3668	50.0000	0.7248
102.4660	50.0000	0.7257
102.5661	50.0000	0.7235
102.6660	50.0000	0.7240
102.7669	50.0000	0.7225
102.8669	50.0000	0.7217
102.9676	50.0000	0.7223
103.0675	50.0000	0.7268
103.1671	50.0000	0.7200
103.2675	50.0000	0.7228
103.3675	50.0000	0.7267
103.4671	50.0000	0.7241
103.5673	50.0000	0.7232
103.6675	50.0000	0.7209
103.7675	50.0000	0.7240
103.8675	50.0000	0.7242
103.9675	50.0000	0.7202
104.0673	50.0000	0.7275
104.1685	50.0000	0.7272
104.2685	50.0000	0.7236
104.3681	50.0000	0.7251
104.4685	50.0000	0.7260
104.5692	50.0000	0.7234
104.6694	50.0000	0.7238
104.7699	50.0000	0.7224
104.8700	50.0000	0.7244
104.9705	50.0000	0.7228
105.0708	50.0000	0.7249
105.1708	50.0000	0.7257
105.2706	50.0000	0.7190
105.3701	50.0000	0.7248
105.4710	50.0000	0.7251
105.5710	50.0000	0.7221
105.6710	50.0000	0.7267
105.7717	50.0000	0.7245
105.8713	50.0000	0.7264
105.9713	50.0000	0.7227
106.0713	50.0000	0.7238
106.1714	50.0000	0.7204
106.2715	50.0000	0.7244
106.3715	50.0000	0.7256
106.4714	50.0000	0.7273
106.5711	50.0000	0.7285
106.6715	50.0000	0.7260
106.7719	50.0000	0.7259
106.8720	50.0000	0.7248
106.9729	50.0000	0.7261
107.0724	50.0000	0.7253
107.1728	50.0000	0.7260
107.2721	50.0000	0.7245
107.3729	50.0000	0.7225
107.4730	50.0000	0.7240
107.5750	50.0000	0.7277
107.6750	50.0000	0.7250
107.7754	50.0000	0.7220
107.8765	50.0000	0.7233
107.9760	50.0000	0.7211
108.0765	50.0000	0.7219
108.1761	50.0000	0.7235
108.2772	50.0000	0.7262
108.3780	50.0000	0.7275
108.4781	50.0000	0.7232
108.5781	50.0000	0.7217
108.6792	50.0000	0.7233
108.7798	50.0000	0.7261
108.8799	50.0000	0.7223
108.9802	50.0000	0.7238
109.0806	50.0000	0.7212
109.1805	50.0000	0.7248
109.2818	50.0000	0.7240
109.3810	50.0000	0.7256
109.4815	50.0000	0.7228
109.5820	50.0000	0.7222
109.6829	50.0000	0.7206
109.7829	50.0000	0.7218
109.8829	50.0000	0.7224
109.9829	50.0000	0.7207
110.0824	50.0000	0.7223
110.1829	50.0000	0.7269
110.2824	50.0000	0.7277
110.3825	50.0000	0.7271
110.4829	50.0000	0.7277
110.5829	50.0000	0.7236
110.6829	50.0000	0.7277
110.7828	50.0000	0.7270
110.8829	50.0000	0.7192
110.9829	50.0000	0.7252
111.0829	50.0000	0.7234
111.1829	50.0000	0.7231
111.2829	50.0000	0.7250
111.3829	50.0000	0.7231
111.4829	50.0000	0.7193
111.5830	50.0000	0.7242
111.6829	50.0000	0.7235
111.7825	50.0000	0.7246
111.8829	50.0000	0.7265
111.9829	50.0000	0.7245
112.0827	50.0000	0.7228
112.1825	50.0000	0.7239
112.2829	50.0000	0.7231
112.3829	50.0000	0.7250
112.4829	50.0000	0.7284
112.5830	50.0000	0.7237
112.6829	50.0000	0.7258
112.7828	50.0000	0.7225
112.8824	50.0000	0.7230
112.9826	50.0000	0.7211
113.0830	50.0000	0.7257
113.1830	50.0000	0.7264
113.2831	50.0000	0.7253
113.3850	50.0000	0.7218
113.4851	50.0000	0.7229
113.5850	50.0000	0.7861
113.6854	50.0000	0.9279
113.7853	50.0000	0.7421
113.8859	50.0000	0.9511
113.9854	50.0000	0.7392
114.0853	50.0000	0.7218
114.1853	50.0000	0.7494
114.2853	50.0000	0.9047
114.3863	50.0000	1.1528
114.4871	50.0000	1.4843
114.5880	50.0000	1.7777
114.6875	50.0000	1.6422
114.7874	50.0000	1.7093
114.8874	50.0000	1.8165
114.9872	50.0000	1.7267
115.0883	50.0000	1.8249
115.1885	50.0000	2.2666
115.2882	50.0000	2.2108
115.3884	50.0000	2.1833
115.4885	50.0000	2.1589
115.5891	50.0000	2.1481
115.6893	50.0000	2.1532
115.7901	50.0000	2.1645
115.8907	50.0000	2.1732
115.9911	50.0000	2.1687
116.0920	50.0000	2.1591
116.1911	50.0000	2.1676
116.2914	50.0000	2.1679
116.3916	50.0000	2.1642
116.4919	50.0000	2.1657
116.5919	50.0000	2.1622
116.6911	50.0000	2.1641
116.7910	50.0000	2.1630
116.8923	50.0000	2.1675
116.9930	50.0000	2.1641
117.0930	50.0000	2.1627
117.1930	50.0000	2.1689
117.2926	50.0000	2.1627
117.3928	50.0000	2.1621
117.4929	50.0000	2.1650
117.5930	50.0000	2.1661
117.6929	50.0000	2.1584
117.7924	50.0000	2.1637
117.8930	50.0000	2.1659
117.9924	50.0000	2.1677
118.0930	50.0000	2.1636
118.1923	50.0000	2.1704
118.2928	50.0000	2.1627
118.3930	50.0000	2.1623
118.4929	50.0000	2.1680
118.5930	50.0000	2.1645
118.6930	50.0000	2.1637
118.7930	50.0000	2.1670
118.8930	50.0000	2.1638
118.9930	50.0000	2.1644
119.0930	50.0000	2.1597
119.1930	50.0000	2.1625
119.2930	50.0000	2.1690
119.3930	50.0000	2.1607
119.4930	50.0000	2.1592
119.5922	50.0000	2.1612
119.6929	50.0000	2.1639
119.7930	50.0000	2.1643
119.8928	50.0000	2.1624
119.9928	50.0000	2.1634
120.0939	50.0000	2.1614
120.1941	50.0000	2.1655
120.2949	50.0000	2.1627
120.3947	50.0000	2.1620
120.4946	50.0000	2.1626
120.5941	50.0000	2.1609
120.6950	50.0000	2.1668
120.7942	50.0000	2.1604
120.8947	50.0000	2.1674
120.9945	50.0000	2.1730
121.0954	50.0000	2.1638
121.1954	50.0000	2.1607
121.2967	50.0000	2.1638
121.3963	50.0000	2.1599
121.4973	50.0000	2.1578
121.5978	50.0000	2.1663
121.6981	50.0000	2.1623
121.7979	50.0000	2.1661
121.8981	50.0000	2.1645
121.9986	50.0000	2.1625
122.0990	50.0000	2.1673
122.1991	50.0000	2.1612
122.2992	50.0000	2.1642
122.3992	50.0000	2.1649
122.5000	50.0000	2.1638
122.6001	50.0000	2.1630
122.7018	50.0000	2.1652
122.8012	50.0000	2.1649
122.9023	50.0000	2.1653
123.0041	50.0000	2.1630
123.1038	50.0000	2.1701
123.2051	50.0000	2.1618
123.3054	50.0000	2.1626
123.4053	50.0000	2.1637
123.5055	50.0000	2.1603
123.6054	50.0000	2.1663
123.7054	50.0000	2.1696
123.8052	50.0000	2.1655
123.9052	50.0000	2.1615
124.0055	50.0000	2.1617
124.1054	50.0000	2.1643
124.2055	50.0000	2.1657
124.3053	50.0000	2.1643
124.4055	50.0000	2.1670
124.5055	50.0000	2.1690
124.6055	50.0000	2.1627
124.7055	50.0000	2.1664
124.8053	50.0000	2.1645
124.9054	50.0000	2.1683
125.0053	50.0000	2.1625
125.1055	50.0000	2.1658
125.2067	50.0000	2.1566
125.3064	50.0000	2.1675
125.4074	50.0000	2.1626
125.5071	50.0000	2.1661
125.6084	50.0000	2.1631
125.7084	50.0000	2.1607
125.8087	50.0000	2.1631
125.9087	50.0000	2.1644
126.0091	50.0000	2.1678
126.1100	50.0000	2.1617
126.2108	50.0000	2.1659
126.3107	50.0000	2.1689
126.4106	50.0000	2.1592
126.5107	50.0000	2.1629
126.6107	50.0000	2.1620
126.7107	50.0000	2.1663
126.8108	50.0000	2.1621
126.9107	50.0000	2.1607
127.0107	50.0000	2.1617
127.1106	50.0000	2.1548
127.2107	50.0000	2.1661
127.3107	50.0000	2.1649
127.4107	50.0000	2.1656
127.5107	50.0000	2.1638
127.6112	50.0000	2.1653
127.7123	50.0000	2.1667
127.8131	50.0000	2.1603
127.9131	50.0000	2.1646
128.0131	50.0000	2.1583
128.1127	50.0000	2.1615
128.2131	50.0000	2.1683
128.3130	50.0000	2.1623
128.4129	50.0000	2.1629
128.5128	50.0000	2.1687
128.6131	50.0000	2.1689
128.7131	50.0000	2.1719
128.8131	50.0000	2.1702
128.9131	50.0000	2.1638
129.0131	50.0000	2.1676
129.1127	50.0000	2.1630
129.2131	50.0000	2.1607
129.3131	50.0000	2.1584
129.4131	50.0000	2.1545
129.5130	50.0000	2.1664
129.6131	50.0000	2.1639
129.7130	50.0000	2.1650
129.8130	50.0000	2.1621
129.9131	50.0000	2.1634
130.0131	50.0000	2.1603
130.1131	50.0000	2.1622
130.2131	50.0000	2.1634
130.3125	50.0000	2.1638
130.4127	50.0000	2.1608
130.5128	50.0000	2.1656
130.6130	50.0000	2.1679
130.7125	50.0000	2.1620
130.8127	50.0000	2.1669
130.9131	50.0000	2.1643
131.0131	50.0000	2.1663
131.1128	50.0000	2.1551
131.2131	50.0000	2.1568
131.3131	50.0000	2.1621
131.4130	50.0000	2.1627
131.5130	50.0000	2.1703
131.6130	50.0000	2.1660
131.7129	50.0000	2.1668
131.8131	50.0000	2.1659
131.9131	50.0000	2.1688
132.0131	50.0000	2.1600
132.1131	50.0000	2.1666
132.2127	50.0000	2.1607
132.3129	50.0000	2.1626
132.4126	50.0000	2.1586
132.5131	50.0000	2.1599
132.6131	50.0000	2.1601
132.7128	50.0000	2.1646
132.8132	50.0000	2.1670
132.9152	50.0000	2.1629
133.0153	50.0000	2.1707
133.1155	50.0000	2.1576
133.2154	50.0000	2.1683
133.3154	50.0000	2.1678
133.4155	50.0000	2.1565
133.5155	50.0000	2.1701
133.6155	50.0000	2.1637
133.7153	50.0000	2.1699
133.8156	50.0000	2.1636
133.9154	50.0000	2.1581
134.0155	50.0000	2.1719
134.1152	50.0000	2.1593
134.2156	50.0000	2.1726
134.3156	50.0000	2.1632
134.4170	50.0000	2.1700
134.5163	50.0000	2.1622
134.6172	50.0000	2.1662
134.7174	50.0000	2.1612
134.8184	50.0000	2.1666
134.9193	50.0000	2.1683
135.0193	50.0000	2.1592
135.1197	50.0000	2.1671
135.2201	50.0000	2.1540
135.3204	50.0000	2.1591
135.4212	50.0000	2.1708
135.5208	50.0000	2.1574
135.6206	50.0000	2.1666
135.7211	50.0000	2.1569
135.8208	50.0000	2.1675
135.9206	50.0000	2.1658
136.0203	50.0000	2.1637
136.1207	50.0000	2.1658
136.2203	50.0000	2.1573
136.3207	50.0000	2.1609
136.4208	50.0000	2.1664
136.5209	50.0000	2.1612
136.6217	50.0000	2.1680
136.7221	50.0000	2.1627
136.8213	50.0000	2.1643
136.9225	50.0000	2.1614
137.0231	50.0000	2.1629
137.1231	50.0000	2.1618
137.2230	50.0000	2.1650
137.3232	50.0000	2.1581
137.4232	50.0000	2.1614
137.5231	50.0000	2.1690
137.6232	50.0000	2.1647
137.7232	50.0000	2.1621
137.8253	50.0000	2.1745
137.9262	50.0000	2.1634
138.0256	50.0000	2.1645
138.1254	50.0000	2.1589
138.2255	50.0000	2.1692
138.3256	50.0000	2.1639
138.4264	50.0000	2.1630
138.5266	50.0000	2.1647
138.6266	50.0000	2.1715
138.7263	50.0000	2.1599
138.8264	50.0000	2.1652
138.9273	50.0000	2.1677
139.0281	50.0000	2.1647
139.1280	50.0000	2.1689
139.2281	50.0000	2.1691
139.3283	50.0000	2.1659
139.4293	50.0000	2.1593
139.5293	50.0000	2.1707
139.6298	50.0000	2.1628
139.7296	50.0000	2.1611
139.8299	50.0000	2.1571
139.9303	50.0000	2.1650
140.0305	50.0000	2.1628
140.1305	50.0000	2.1656
140.2304	50.0000	2.1636
140.3304	50.0000	2.1569
140.4309	50.0000	2.1656
140.5313	50.0000	2.1615
140.6323	50.0000	2.1670
140.7332	50.0000	2.1601
140.8339	50.0000	2.1593
140.9351	50.0000	2.1629
141.0349	50.0000	2.1693
141.1347	50.0000	2.1603
141.2345	50.0000	2.1639
141.3362	50.0000	2.1607
141.4354	50.0000	2.1675
141.5353	50.0000	2.1656
141.6355	50.0000	2.1592
141.7355	50.0000	2.1686
141.8356	50.0000	2.1716
141.9370	50.0000	2.1619
142.0373	50.0000	2.1627
142.1380	50.0000	2.1684
142.2376	50.0000	2.1607
142.3380	50.0000	2.1604
142.4375	50.0000	2.1634
142.5378	50.0000	2.1624
142.6384	50.0000	2.1618
142.7388	50.0000	2.1575
142.8386	50.0000	2.1589
142.9391	50.0000	2.1626
143.0388	50.0000	2.1657
143.1387	50.0000	2.1659
143.2394	50.0000	2.1548
143.3399	50.0000	2.1659
143.4403	50.0000	2.1635
143.5413	50.0000	2.1626
143.6413	50.0000	2.1646
143.7413	50.0000	2.1683
143.8421	50.0000	2.1646
143.9416	50.0000	2.1655
144.0424	50.0000	2.1672
144.1432	50.0000	2.1625
144.2432	50.0000	2.1664
144.3432	50.0000	2.1698
144.4432	50.0000	2.1661
144.5432	50.0000	2.1690
144.6428	50.0000	2.1610
144.7429	50.0000	2.1589
144.8432	50.0000	2.1622
144.9441	50.0000	2.1689
145.0441	50.0000	2.1718
145.1437	50.0000	2.1670
145.2434	50.0000	2.1623
145.3442	50.0000	2.1614
145.4439	50.0000	2.1617
145.5436	50.0000	2.1655
145.6434	50.0000	2.1695
145.7441	50.0000	2.1595
145.8439	50.0000	2.1686
145.9433	50.0000	2.1590
146.0434	50.0000	2.1639
146.1434	50.0000	2.1697
146.2454	50.0000	2.1660
146.3457	50.0000	2.1679
146.4472	50.0000	2.1706
146.5464	50.0000	2.1582
146.6463	50.0000	2.1593
146.7476	50.0000	2.1638
146.8484	50.0000	2.1701
146.9486	50.0000	2.1722
147.0485	50.0000	2.1695
147.1483	50.0000	2.1639
147.2495	50.0000	2.1578
147.3494	50.0000	2.1604
147.4494	50.0000	2.1576
147.5504	50.0000	2.1566
147.6509	50.0000	2.1618
147.7509	50.0000	2.1671
147.8518	50.0000	2.1588
147.9522	50.0000	2.1632
148.0521	50.0000	2.1568
148.1517	50.0000	2.1614
148.2517	50.0000	2.1602
148.3518	50.0000	2.1620
148.4528	50.0000	2.1559
148.5533	50.0000	2.1663
148.6526	50.0000	2.1641
148.7532	50.0000	2.1614
148.8531	50.0000	2.1638
148.9533	50.0000	2.1709
149.0532	50.0000	2.1668
149.1533	50.0000	2.1646
149.2529	50.0000	2.1633
149.3533	50.0000	2.1617
149.4532	50.0000	2.1615
149.5529	50.0000	2.1690
149.6530	50.0000	2.1723
149.7529	50.0000	2.1645
149.8532	50.0000	2.1630
149.9524	50.0000	2.1645
150.0532	50.0000	2.1717
150.1533	50.0000	2.1714
150.2533	50.0000	2.1629
150.3532	50.0000	2.1691
150.4526	50.0000	2.1655
150.5528	50.0000	2.1697
150.6533	50.0000	2.1652
150.7525	50.0000	2.1593
150.8529	50.0000	2.1626
150.9533	50.0000	2.1648
151.0533	50.0000	2.1663
151.1533	50.0000	2.1683
151.2533	50.0000	2.1616
151.3526	50.0000	2.1612
151.4532	50.0000	2.1653
151.5533	50.0000	2.1654
151.6539	50.0000	2.1539
151.7534	50.0000	2.1599
151.8538	50.0000	2.1657
151.9550	50.0000	2.1603
152.0544	50.0000	2.1622
152.1545	50.0000	2.1649
152.2547	50.0000	2.1664
152.3559	50.0000	2.1642
152.4559	50.0000	2.1613
152.5574	50.0000	2.1652
152.6581	50.0000	2.1641
152.7580	50.0000	2.1656
152.8584	50.0000	2.1628
152.9585	50.0000	2.1645
153.0591	50.0000	2.1608
153.1594	50.0000	2.1651
153.2599	50.0000	2.1625
153.3603	50.0000	2.1917
153.4603	50.0000	2.1695
153.5603	50.0000	2.1674
153.6597	50.0000	2.1640
153.7595	50.0000	2.6146
153.8604	50.0000	2.4801
153.9610	50.0000	2.9914
154.0612	50.0000	3.2198
154.1606	50.0000	3.1620
154.2610	50.0000	3.2213
154.3609	50.0000	3.3239
154.4611	50.0000	3.3781
154.5612	50.0000	3.1822
154.6613	50.0000	3.6825
154.7612	50.0000	3.3949
154.8607	50.0000	3.5515
154.9610	50.0000	3.5713
155.0610	50.0000	3.6207
155.1612	50.0000	3.6356
155.2614	50.0000	3.6273
155.3614	50.0000	3.6433
155.4625	50.0000	3.6264
155.5632	50.0000	3.6326
155.6633	50.0000	3.6275
155.7633	50.0000	3.6320
155.8633	50.0000	3.6315
155.9634	50.0000	3.6274
156.0629	50.0000	3.6301
156.1633	50.0000	3.6431
156.2633	50.0000	3.6287
156.3634	50.0000	3.6298
156.4635	50.0000	3.6252
156.5654	50.0000	3.6314
156.6657	50.0000	3.6289
156.7657	50.0000	3.6326
156.8657	50.0000	3.6219
156.9674	50.0000	3.6297
157.0671	50.0000	3.6349
157.1671	50.0000	3.6330
157.2666	50.0000	3.6225
157.3672	50.0000	3.6235
157.4674	50.0000	3.6356
157.5682	50.0000	3.6258
157.6679	50.0000	3.6200
157.7681	50.0000	3.6397
157.8682	50.0000	3.6364
157.9682	50.0000	3.6378
158.0683	50.0000	3.6332
158.1680	50.0000	3.6302
158.2684	50.0000	3.6205
158.3685	50.0000	3.6324
158.4686	50.0000	3.6333
158.5687	50.0000	3.6315
158.6689	50.0000	3.6296
158.7693	50.0000	3.6253
158.8693	50.0000	3.6257
158.9694	50.0000	3.6315
159.0698	50.0000	3.6339
159.1699	50.0000	3.6292
159.2700	50.0000	3.6234
159.3695	50.0000	3.6319
159.4705	50.0000	3.6379
159.5714	50.0000	3.6299
159.6708	50.0000	3.6357
159.7708	50.0000	3.6321
159.8709	50.0000	3.6248
159.9708	50.0000	3.6223
160.0708	50.0000	3.6384
160.1709	50.0000	3.6351
160.2708	50.0000	3.6285
160.3709	50.0000	3.6296
160.4705	50.0000	3.6335
160.5713	50.0000	3.6290
160.6706	50.0000	3.6280
160.7709	50.0000	3.6390
160.8710	50.0000	3.6226
160.9711	50.0000	3.6275
161.0712	50.0000	3.6262
161.1714	50.0000	3.6257
161.2714	50.0000	3.6303
161.3720	50.0000	3.6267
161.4729	50.0000	3.6316
161.5734	50.0000	3.6312
161.6730	50.0000	3.6272
161.7734	50.0000	3.6310
161.8729	50.0000	3.6303
161.9731	50.0000	3.6274
162.0734	50.0000	3.6248
162.1729	50.0000	3.6377
162.2729	50.0000	3.6309
162.3725	50.0000	3.6302
162.4732	50.0000	3.6265
162.5727	50.0000	3.6279
162.6730	50.0000	3.6307
162.7734	50.0000	3.6327
162.8734	50.0000	3.6322
162.9734	50.0000	3.6311
163.0731	50.0000	3.6309
163.1735	50.0000	3.6277
163.2735	50.0000	3.6339
163.3751	50.0000	3.6319
163.4749	50.0000	3.6329
163.5750	50.0000	3.6378
163.6751	50.0000	3.6277
163.7745	50.0000	3.6344
163.8751	50.0000	3.6277
163.9765	50.0000	3.6256
164.0767	50.0000	3.6355
164.1769	50.0000	3.6289
164.2774	50.0000	3.6370
164.3770	50.0000	3.6341
164.4768	50.0000	3.6340
164.5769	50.0000	3.6369
164.6767	50.0000	3.6287
164.7768	50.0000	3.6313
164.8766	50.0000	3.6300
164.9776	50.0000	3.6316
165.0780	50.0000	3.6317
165.1785	50.0000	3.6357
165.2790	50.0000	3.6391
165.3788	50.0000	3.6284
165.4793	50.0000	3.6359
165.5785	50.0000	3.6269
165.6785	50.0000	3.6316
165.7785	50.0000	3.6298
165.8786	50.0000	3.6279
165.9791	50.0000	3.6317
166.0790	50.0000	3.6306
166.1792	50.0000	3.6321
166.2794	50.0000	3.6299
166.3788	50.0000	3.6227
166.4789	50.0000	3.6314
166.5786	50.0000	3.6342
166.6787	50.0000	3.6307
166.7789	50.0000	3.6269
166.8789	50.0000	3.6247
166.9785	50.0000	3.6316
167.0791	50.0000	3.6265
167.1794	50.0000	3.6288
167.2795	50.0000	3.6273
167.3796	50.0000	3.6285
167.4797	50.0000	3.6389
167.5801	50.0000	3.6256
167.6795	50.0000	3.6274
167.7802	50.0000	3.6268
167.8795	50.0000	3.6323
167.9800	50.0000	3.6346
168.0799	50.0000	3.6338
168.1801	50.0000	3.6261
168.2800	50.0000	3.6322
168.3795	50.0000	3.6345
168.4807	50.0000	3.6341
168.5809	50.0000	3.6323
168.6814	50.0000	3.6310
168.7814	50.0000	3.6330
168.8814	50.0000	3.6345
168.9808	50.0000	3.6324
169.0809	50.0000	3.6296
169.1810	50.0000	3.6359
169.2807	50.0000	3.6306
169.3814	50.0000	3.6288
169.4815	50.0000	3.6337
169.5813	50.0000	3.6326
169.6811	50.0000	3.6296
169.7819	50.0000	3.6320
169.8819	50.0000	3.6329
169.9816	50.0000	3.6261
170.0815	50.0000	3.6359
170.1820	50.0000	3.6296
170.2826	50.0000	3.6314
170.3833	50.0000	3.6331
170.4834	50.0000	3.6256
170.5834	50.0000	3.6265
170.6830	50.0000	3.6254
170.7829	50.0000	3.6299
170.8834	50.0000	3.6337
170.9834	50.0000	3.6344
171.0834	50.0000	3.6332
171.1832	50.0000	3.6314
171.2830	50.0000	3.6218
171.3829	50.0000	3.6284
171.4830	50.0000	3.6285
171.5830	50.0000	3.6292
171.6833	50.0000	3.6324
171.7835	50.0000	3.6292
171.8834	50.0000	3.6324
171.9826	50.0000	3.6301
172.0833	50.0000	3.6328
172.1834	50.0000	3.6311
172.2834	50.0000	3.6246
172.3831	50.0000	3.6301
172.4833	50.0000	3.6299
172.5834	50.0000	3.6310
172.6835	50.0000	3.6318
172.7835	50.0000	3.6336
172.8830	50.0000	3.6337
172.9830	50.0000	3.6284
173.0843	50.0000	3.6292
173.1835	50.0000	3.6317
173.2836	50.0000	3.6281
173.3836	50.0000	3.6321
173.4855	50.0000	3.6288
173.5850	50.0000	3.6290
173.6848	50.0000	3.6271
173.7848	50.0000	3.6354
173.8863	50.0000	3.6278
173.9858	50.0000	3.6303
174.0858	50.0000	3.6261
174.1859	50.0000	3.6290
174.2859	50.0000	3.6330
174.3859	50.0000	3.6417
174.4858	50.0000	3.6341
174.5856	50.0000	3.6306
174.6858	50.0000	3.6292
174.7857	50.0000	3.6605
174.8857	50.0000	3.7239
174.9859	50.0000	3.6818
175.0859	50.0000	4.4472
175.1859	50.0000	4.3944
175.2876	50.0000	4.4374
175.3893	50.0000	4.3149
175.4886	50.0000	4.1715
175.5889	50.0000	4.3763
175.6890	50.0000	4.0591
175.7896	50.0000	4.1867
175.8897	50.0000	3.8121
175.9905	50.0000	2.6274
176.0908	50.0000	2.0290
176.1924	50.0000	1.7975
176.2922	50.0000	1.7138
176.3924	50.0000	1.6997
176.4920	50.0000	1.8565
176.5919	50.0000	1.9056
176.6919	50.0000	1.8497
176.7922	50.0000	2.5142
176.8924	50.0000	2.0916
176.9924	50.0000	1.5913
177.0925	50.0000	2.6225
177.1927	50.0000	2.2478
177.2935	50.0000	2.2017
177.3935	50.0000	2.1923
177.4935	50.0000	2.1925
177.5931	50.0000	2.1741
177.6934	50.0000	2.1910
177.7935	50.0000	2.1942
177.8935	50.0000	2.2001
177.9934	50.0000	2.1899
178.0935	50.0000	2.1978
178.1939	50.0000	2.1956
178.2942	50.0000	2.1954
178.3940	50.0000	2.1829
178.4941	50.0000	2.1934
178.5955	50.0000	2.1910
178.6955	50.0000	2.1922
178.7953	50.0000	2.1989
178.8952	50.0000	2.1925
178.9952	50.0000	2.1945
179.0950	50.0000	2.1929
179.1964	50.0000	2.1914
179.2960	50.0000	2.1891
179.3957	50.0000	2.1944
179.4959	50.0000	2.1909
179.5958	50.0000	2.1909
179.6958	50.0000	2.1927
179.7959	50.0000	2.1910
179.8957	50.0000	2.1927
179.9960	50.0000	2.2004
180.0959	50.0000	2.1930
180.1957	50.0000	2.1975
180.2960	50.0000	2.1960
180.3957	50.0000	2.1969
180.4959	50.0000	2.1927
180.5958	50.0000	2.1911
180.6959	50.0000	2.2038
180.7959	50.0000	2.1930
180.8968	50.0000	2.1966
180.9980	50.0000	2.1910
181.0987	50.0000	2.1940
181.1994	50.0000	2.1977
181.2994	50.0000	2.1966
181.4005	50.0000	2.1962
181.5006	50.0000	2.1952
181.6017	50.0000	2.1896
181.7017	50.0000	2.1930
181.8016	50.0000	2.1960
181.9021	50.0000	2.1973
182.0020	50.0000	2.1905
182.1020	50.0000	2.1969
182.2028	50.0000	2.1880
182.3036	50.0000	2.1932
182.4035	50.0000	2.1928
182.5032	50.0000	2.1922
182.6036	50.0000	2.1914
182.7042	50.0000	2.1962
182.8056	50.0000	2.1970
182.9053	50.0000	2.1940
183.0053	50.0000	2.1938
183.1053	50.0000	2.1892
