27/11/2023 10:23:50 am
Time(s)	Displacement(mm) Force(N)
19.7963	50.0000	-0.3434
19.8967	50.0000	-0.3448
19.9968	50.0000	-0.3453
20.0962	50.0000	-0.3449
20.1968	50.0000	-0.3452
20.2965	50.0000	-0.3437
20.3967	50.0000	-0.3439
20.4983	50.0000	-0.3418
20.5992	50.0000	-0.3433
20.7002	50.0000	-0.3436
20.8007	50.0000	-0.3430
20.9006	50.0000	-0.3440
21.0007	50.0000	-0.3428
21.1011	50.0000	-0.3441
21.2015	50.0000	-0.3442
21.3021	50.0000	-0.3433
21.4022	50.0000	-0.3452
21.5027	50.0000	-0.3455
21.6041	50.0000	-0.3435
21.7036	50.0000	-0.3441
21.8032	50.0000	-0.3450
21.9033	50.0000	-0.3448
22.0033	50.0000	-0.3443
22.1038	50.0000	-0.3441
22.2047	50.0000	-0.3461
22.3046	50.0000	-0.3445
22.4045	50.0000	-0.3448
22.5046	50.0000	-0.3462
22.6063	50.0000	-0.3449
22.7072	50.0000	-0.3441
22.8063	50.0000	-0.3434
22.9064	50.0000	-0.3438
23.0068	50.0000	-0.3443
23.1065	50.0000	-0.3440
23.2082	50.0000	-0.3455
23.3080	50.0000	-0.3440
23.4077	50.0000	-0.3443
23.5074	50.0000	-0.3441
23.6092	50.0000	-0.3440
23.7089	50.0000	-0.3439
23.8087	50.0000	-0.3437
23.9088	50.0000	-0.3437
24.0088	50.0000	-0.3448
24.1096	50.0000	-0.3450
24.2095	50.0000	-0.3443
24.3098	50.0000	-0.3450
24.4099	50.0000	-0.3456
24.5095	50.0000	-0.3445
24.6111	50.0000	-0.3447
24.7103	50.0000	-0.3452
24.8104	50.0000	-0.3448
24.9106	50.0000	-0.3437
25.0108	50.0000	-0.3450
25.1107	50.0000	-0.3447
25.2109	50.0000	-0.3436
25.3110	50.0000	-0.3436
25.4104	50.0000	-0.3462
25.5110	50.0000	-0.3435
25.6105	50.0000	-0.3445
25.7115	50.0000	-0.3427
25.8120	50.0000	-0.3436
25.9123	50.0000	-0.3438
26.0123	50.0000	-0.3436
26.1142	50.0000	-0.3432
26.2140	50.0000	-0.3448
26.3139	50.0000	-0.3442
26.4139	50.0000	-0.3417
26.5153	50.0000	-0.3448
26.6158	50.0000	-0.3442
26.7155	50.0000	-0.3446
26.8165	50.0000	-0.3443
26.9174	50.0000	-0.3447
27.0184	50.0000	-0.3435
27.1190	50.0000	-0.3424
27.2193	50.0000	-0.3441
27.3199	50.0000	-0.3442
27.4202	50.0000	-0.3416
27.5202	50.0000	-0.3429
27.6198	50.0000	-0.3441
27.7202	50.0000	-0.3442
27.8197	50.0000	-0.3449
27.9201	50.0000	-0.3443
28.0197	50.0000	-0.3445
28.1204	50.0000	-0.3444
28.2208	50.0000	-0.3429
28.3207	50.0000	-0.3434
28.4203	50.0000	-0.3438
28.5213	50.0000	-0.3435
28.6218	50.0000	-0.3410
28.7219	50.0000	-0.3448
28.8222	50.0000	-0.3441
28.9219	50.0000	-0.3448
29.0219	50.0000	-0.3448
29.1222	50.0000	-0.3436
29.2217	50.0000	-0.3455
29.3222	50.0000	-0.3439
29.4217	50.0000	-0.3458
29.5227	50.0000	-0.3441
29.6244	50.0000	-0.3454
29.7243	50.0000	-0.3457
29.8244	50.0000	-0.3443
29.9251	50.0000	-0.3458
30.0245	50.0000	-0.3441
30.1246	50.0000	-0.3446
30.2247	50.0000	-0.3469
30.3245	50.0000	-0.3425
30.4247	50.0000	-0.3462
30.5246	50.0000	-0.3454
30.6245	50.0000	-0.3456
30.7245	50.0000	-0.3450
30.8244	50.0000	-0.3429
30.9245	50.0000	-0.3446
31.0244	50.0000	-0.5060
31.1245	50.0000	-0.5340
31.2245	50.0000	-0.5145
31.3245	50.0000	-0.4350
31.4245	50.0000	-0.7337
31.5246	50.0000	-0.7417
31.6247	50.0000	-0.6880
31.7246	50.0000	-0.9041
31.8250	50.0000	-1.1454
31.9252	50.0000	-1.3825
32.0263	50.0000	-1.1176
32.1260	50.0000	-0.8424
32.2254	50.0000	-1.1964
32.3260	50.0000	-1.2816
32.4257	50.0000	-1.3552
32.5257	50.0000	-1.7880
32.6254	50.0000	-1.7071
32.7259	50.0000	-1.5794
32.8255	50.0000	-1.5602
32.9264	50.0000	-1.3641
33.0264	50.0000	-1.1965
33.1273	50.0000	-0.8683
33.2272	50.0000	-0.6568
33.3276	50.0000	-0.6926
33.4278	50.0000	-0.7030
33.5278	50.0000	-0.9217
33.6276	50.0000	-0.6059
33.7274	50.0000	-0.8230
33.8281	50.0000	-1.3823
33.9279	50.0000	-1.4912
34.0284	50.0000	-1.5891
34.1285	50.0000	-1.3672
34.2290	50.0000	-1.5529
34.3294	50.0000	-1.5410
34.4304	50.0000	-1.3481
34.5314	50.0000	-1.5021
34.6321	50.0000	-1.4881
34.7323	50.0000	-1.6142
34.8323	50.0000	-1.7040
34.9322	50.0000	-1.6458
35.0331	50.0000	-1.6845
35.1325	50.0000	-1.8133
35.2327	50.0000	-1.8067
35.3333	50.0000	-1.8695
35.4347	50.0000	-1.6957
35.5348	50.0000	-1.3870
35.6347	50.0000	-1.2508
35.7347	50.0000	-1.3703
35.8347	50.0000	-1.2151
35.9347	50.0000	-0.7351
36.0358	50.0000	-0.5793
36.1354	50.0000	-0.4633
36.2366	50.0000	-0.5128
36.3373	50.0000	-1.1667
36.4371	50.0000	-1.7136
36.5371	50.0000	-1.8973
36.6372	50.0000	-2.1864
36.7369	50.0000	-2.1355
36.8376	50.0000	-1.8659
36.9373	50.0000	-1.6296
37.0375	50.0000	-1.6941
37.1376	50.0000	-1.9608
37.2383	50.0000	-1.9082
37.3384	50.0000	-1.9522
37.4392	50.0000	-1.7165
37.5392	50.0000	-1.6638
37.6394	50.0000	-1.6516
37.7405	50.0000	-0.9919
37.8404	50.0000	-0.6136
37.9423	50.0000	-0.1076
38.0423	50.0000	-0.3875
38.1423	50.0000	-0.4270
38.2423	50.0000	-0.5331
38.3424	50.0000	-0.8860
38.4444	50.0000	-0.9739
38.5447	50.0000	-1.1002
38.6447	50.0000	-0.9451
38.7446	50.0000	-0.9396
38.8451	50.0000	-1.0183
38.9447	50.0000	-0.8392
39.0448	50.0000	-0.8495
39.1455	50.0000	-0.8978
39.2456	50.0000	-0.7174
39.3457	50.0000	-0.5471
39.4456	50.0000	-0.4305
39.5455	50.0000	-0.1866
39.6463	50.0000	0.2116
39.7455	50.0000	0.0328
39.8465	50.0000	-0.3530
39.9469	50.0000	-0.2903
40.0473	50.0000	-0.5361
40.1466	50.0000	-0.1720
40.2471	50.0000	-0.3316
40.3466	50.0000	-0.2351
40.4467	50.0000	-0.0462
40.5464	50.0000	-0.0006
40.6468	50.0000	-0.1065
40.7476	50.0000	0.0459
40.8479	50.0000	0.3656
40.9482	50.0000	0.7424
41.0474	50.0000	0.7518
41.1476	50.0000	0.8358
41.2479	50.0000	0.9558
41.3484	50.0000	0.7637
41.4495	50.0000	0.7376
41.5495	50.0000	0.5935
41.6500	50.0000	0.4925
41.7500	50.0000	0.6495
41.8500	50.0000	0.7561
41.9499	50.0000	0.7502
42.0507	50.0000	0.7745
42.1509	50.0000	0.7525
42.2522	50.0000	0.7375
42.3523	50.0000	0.7467
42.4523	50.0000	0.7389
42.5523	50.0000	0.7797
42.6523	50.0000	0.8933
42.7524	50.0000	0.8961
42.8544	50.0000	0.8523
42.9541	50.0000	0.6171
43.0540	50.0000	0.6734
43.1540	50.0000	0.7485
43.2538	50.0000	0.7388
43.3537	50.0000	0.7413
43.4543	50.0000	0.7576
43.5542	50.0000	0.7297
43.6534	50.0000	0.7676
43.7535	50.0000	0.6287
43.8537	50.0000	0.7536
43.9544	50.0000	0.7685
44.0545	50.0000	0.7699
44.1547	50.0000	0.7527
44.2545	50.0000	0.7985
44.3546	50.0000	0.9445
44.4564	50.0000	1.0253
44.5574	50.0000	0.9754
44.6568	50.0000	0.9497
44.7569	50.0000	0.7179
44.8571	50.0000	0.7430
44.9575	50.0000	0.7220
45.0583	50.0000	0.7351
45.1584	50.0000	0.7666
45.2585	50.0000	0.8003
45.3597	50.0000	0.7538
45.4595	50.0000	0.8258
45.5595	50.0000	0.7455
45.6613	50.0000	0.7524
45.7604	50.0000	0.7529
45.8610	50.0000	0.7074
45.9615	50.0000	0.4848
46.0624	50.0000	0.8392
46.1615	50.0000	0.7060
46.2619	50.0000	0.4553
46.3624	50.0000	0.4648
46.4628	50.0000	0.4962
46.5645	50.0000	0.5554
46.6648	50.0000	0.7085
46.7648	50.0000	0.7048
46.8646	50.0000	0.6379
46.9647	50.0000	0.7001
47.0648	50.0000	0.8865
47.1648	50.0000	0.4368
47.2648	50.0000	0.8099
47.3646	50.0000	0.5655
47.4661	50.0000	0.6353
47.5657	50.0000	0.7172
47.6658	50.0000	0.7321
47.7659	50.0000	0.5492
47.8665	50.0000	0.9812
47.9664	50.0000	1.4788
48.0685	50.0000	1.5735
48.1692	50.0000	1.7246
48.2690	50.0000	1.6762
48.3693	50.0000	1.2640
48.4694	50.0000	0.8575
48.5690	50.0000	0.7113
48.6694	50.0000	0.6008
48.7689	50.0000	1.3408
48.8690	50.0000	1.3948
48.9689	50.0000	1.2922
49.0696	50.0000	1.6593
49.1700	50.0000	0.8640
49.2700	50.0000	0.6880
49.3700	50.0000	0.7570
49.4704	50.0000	0.7323
49.5702	50.0000	0.6959
49.6700	50.0000	0.7115
49.7703	50.0000	0.7681
49.8704	50.0000	0.7682
49.9703	50.0000	0.6464
50.0703	50.0000	0.4011
50.1702	50.0000	0.5999
50.2694	50.0000	0.7800
50.3704	50.0000	0.7469
50.4696	50.0000	0.6874
50.5700	50.0000	0.6685
50.6701	50.0000	0.7615
50.7702	50.0000	0.7451
50.8702	50.0000	0.9159
50.9714	50.0000	0.6776
51.0724	50.0000	0.4767
51.1722	50.0000	0.7939
51.2718	50.0000	0.9042
51.3718	50.0000	0.6089
51.4724	50.0000	0.7044
51.5719	50.0000	0.7625
51.6720	50.0000	0.8217
51.7723	50.0000	0.7772
51.8724	50.0000	1.0416
51.9723	50.0000	0.9207
52.0724	50.0000	1.0467
52.1724	50.0000	0.8410
52.2724	50.0000	0.9427
52.3718	50.0000	1.0104
52.4724	50.0000	0.9391
52.5724	50.0000	0.7603
52.6724	50.0000	0.8783
52.7724	50.0000	0.8617
52.8725	50.0000	0.8282
52.9744	50.0000	0.8038
53.0753	50.0000	0.7317
53.1748	50.0000	0.7251
53.2749	50.0000	0.7230
53.3750	50.0000	0.7249
53.4758	50.0000	0.7241
53.5765	50.0000	0.7239
53.6778	50.0000	0.7243
53.7779	50.0000	0.7241
53.8783	50.0000	0.7228
53.9777	50.0000	0.7242
54.0783	50.0000	0.7232
54.1780	50.0000	0.7248
54.2782	50.0000	0.7220
54.3785	50.0000	0.7239
54.4790	50.0000	0.7242
54.5793	50.0000	0.7238
54.6793	50.0000	0.7233
54.7794	50.0000	0.7241
54.8791	50.0000	0.7229
54.9796	50.0000	0.7242
55.0796	50.0000	0.7247
55.1798	50.0000	0.7235
55.2800	50.0000	0.7209
55.3801	50.0000	0.7221
55.4797	50.0000	0.7247
55.5798	50.0000	0.7235
55.6796	50.0000	0.7248
55.7797	50.0000	0.7234
55.8806	50.0000	0.7234
55.9815	50.0000	0.7231
56.0813	50.0000	0.7215
56.1814	50.0000	0.7213
56.2824	50.0000	0.7248
56.3822	50.0000	0.7231
56.4824	50.0000	0.7217
56.5821	50.0000	0.7236
56.6825	50.0000	0.7236
56.7826	50.0000	0.7221
56.8836	50.0000	0.7247
56.9846	50.0000	0.7205
57.0849	50.0000	0.7242
57.1849	50.0000	0.7228
57.2848	50.0000	0.7231
57.3849	50.0000	0.7232
57.4847	50.0000	0.7225
57.5848	50.0000	0.7212
57.6846	50.0000	0.7215
57.7846	50.0000	0.7238
57.8847	50.0000	0.7236
57.9847	50.0000	0.7239
58.0856	50.0000	0.7235
58.1857	50.0000	0.7243
58.2863	50.0000	0.7237
58.3862	50.0000	0.7224
58.4866	50.0000	0.7227
58.5872	50.0000	0.7225
58.6876	50.0000	0.7227
58.7885	50.0000	0.7234
58.8888	50.0000	0.7234
58.9897	50.0000	0.7223
59.0909	50.0000	0.7239
59.1916	50.0000	0.7229
59.2922	50.0000	0.7231
59.3924	50.0000	0.7250
59.4921	50.0000	0.7246
59.5917	50.0000	0.7253
59.6923	50.0000	0.7228
59.7925	50.0000	0.7220
59.8925	50.0000	0.7223
59.9925	50.0000	0.7239
60.0926	50.0000	0.7218
60.1946	50.0000	0.7234
60.2949	50.0000	0.7241
60.3948	50.0000	0.7218
60.4949	50.0000	0.7228
60.5947	50.0000	0.7239
60.6949	50.0000	0.7239
60.7965	50.0000	0.7219
60.8958	50.0000	0.7231
60.9966	50.0000	0.7239
61.0972	50.0000	0.7220
61.1976	50.0000	0.7239
61.2978	50.0000	0.7239
61.3977	50.0000	0.7234
61.4985	50.0000	0.7226
61.5993	50.0000	0.7249
61.6991	50.0000	0.7222
61.7987	50.0000	0.7223
61.8990	50.0000	0.7222
61.9996	50.0000	0.7225
62.1002	50.0000	0.7223
