4/12/2023 3:27:49 pm
Time(s)	Displacement(mm)	Force(N)
0.0000	-266.2680	1.0975
0.1389	-266.2680	1.0988
0.2398	-266.2680	1.0970
0.3407	-266.2680	1.0989
0.4406	-266.2680	1.0994
0.5403	-266.2680	1.0965
0.6406	-266.2680	1.0999
0.7417	-266.2680	1.0979
0.8431	-266.2680	1.0964
0.9430	-266.2680	1.0945
1.0430	-266.2680	1.0994
1.1430	-266.2680	1.0978
1.2426	-266.2680	1.0987
1.3433	-266.2680	1.0988
1.4434	-266.2680	1.0990
1.5439	-266.2680	1.0994
1.6444	-266.2680	1.1022
1.7457	-266.2680	1.1010
1.8462	-266.2680	1.0999
1.9467	-266.2680	1.1004
2.0467	-266.2680	1.1000
2.1471	-266.2680	1.0978
2.2468	-266.2680	1.0967
2.3463	-266.2680	1.0974
2.4463	-266.2680	1.0975
2.5472	-266.2680	1.0972
2.6473	-266.2680	1.1012
2.7479	-266.2680	1.0995
2.8476	-266.2680	1.0987
2.9480	-266.2680	1.0986
3.0480	-266.2680	1.0980
3.1476	-266.2680	1.0998
3.2478	-266.2680	1.1019
3.3488	-266.2680	1.1040
3.4488	-266.2680	1.1018
3.5488	-266.2680	1.0982
3.6488	-266.2680	1.0989
3.7491	-266.2680	1.0978
3.8487	-266.2680	1.1009
3.9486	-266.2680	1.1011
4.0487	-266.2680	1.0979
4.1486	-266.2680	1.0971
4.2484	-266.2680	1.0961
4.3501	-266.2680	1.0954
4.4498	-266.2680	1.0981
4.5499	-266.2680	1.0995
4.6507	-266.2680	1.1005
4.7507	-266.2680	1.0988
4.8516	-266.2680	1.1013
4.9513	-266.2680	1.1003
5.0529	-266.2680	1.1028
5.1529	-266.2680	1.1036
5.2526	-266.1100	1.1124
5.3738	-266.0000	1.0892
5.4738	-266.0000	1.1095
5.5737	-266.0000	1.0997
5.6737	-266.0000	1.1032
5.7734	-266.0000	1.0979
5.8739	-266.0000	1.1015
5.9738	-266.0000	1.1018
6.0739	-266.0000	1.1034
6.1739	-266.0000	1.1033
6.2737	-266.0000	1.1015
6.3739	-266.0000	1.1028
6.4736	-266.0000	1.1046
6.5740	-266.0000	1.0996
6.6739	-266.0000	1.0990
6.7737	-266.0000	1.1011
6.8736	-266.0000	1.1014
6.9739	-266.0000	1.1015
7.0740	-266.0000	1.1038
7.1739	-266.0000	1.1030
7.2740	-266.0000	1.1052
7.3736	-266.0000	1.1064
7.4737	-266.0000	1.1058
7.5738	-266.0000	1.1051
7.6738	-266.0000	1.1058
7.7742	-266.0000	1.1042
7.8751	-266.0000	1.1077
7.9760	-266.0000	1.1046
8.0762	-266.0000	1.1038
8.1770	-266.0000	1.1003
8.2766	-266.0000	1.0981
8.3764	-266.0000	1.0997
8.4766	-266.0000	1.0998
8.5766	-266.0000	1.1012
8.6769	-266.0000	1.0998
8.7767	-266.0000	1.1026
8.8764	-266.0000	1.1026
8.9765	-266.0000	1.1055
9.0782	-266.0000	1.1011
9.1779	-266.0000	1.0952
9.2787	-266.0000	1.1019
9.3797	-266.0000	1.1016
9.4793	-266.0000	1.1062
9.5798	-266.0000	1.1054
9.6799	-266.0000	1.1050
9.7796	-266.0000	1.1015
9.8793	-266.0000	1.1030
9.9798	-266.0000	1.1063
10.0796	-266.0000	1.1048
10.1800	-266.0000	1.1054
10.2809	-266.0000	1.1023
10.3816	-266.0000	1.1011
10.4816	-266.0000	1.1006
10.5815	-266.0000	1.1021
10.6815	-266.0000	1.1050
10.7822	-266.0000	1.1055
10.8816	-266.0000	1.1009
10.9815	-266.0000	1.1018
11.0815	-266.1520	1.0908
11.2034	-266.5670	1.0894
11.3044	-267.2170	1.0977
11.4046	-267.9010	1.0913
11.5050	-268.5850	1.0904
11.6058	-269.2350	1.0870
11.7067	-269.9110	1.0971
11.8070	-270.0000	1.0918
11.9064	-270.0000	1.0856
12.0072	-270.0000	1.0844
12.1064	-270.0000	1.0839
12.2075	-270.0000	1.0827
12.3079	-270.0000	1.0822
12.4085	-270.0000	1.0829
12.5090	-270.0000	1.0837
12.6086	-270.0000	1.0840
12.7089	-270.0000	1.0860
12.8087	-270.0000	1.0862
12.9091	-270.0000	1.0873
13.0092	-270.0000	1.0879
13.1089	-270.0000	1.0898
13.2091	-270.0000	1.0866
13.3088	-270.0000	1.0863
13.4096	-270.0000	1.0863
13.5088	-270.0000	1.0868
13.6088	-270.0000	1.0876
13.7089	-270.0000	1.0851
13.8088	-270.0000	1.0869
13.9087	-270.0000	1.0851
14.0085	-270.0000	1.0864
14.1088	-270.0000	1.0863
14.2085	-270.0000	1.0838
14.3092	-270.0000	1.0865
14.4087	-270.0000	1.0875
14.5088	-270.0000	1.0869
14.6084	-270.0000	1.0872
14.7089	-270.0000	1.0856
14.8096	-270.0000	1.0846
14.9096	-270.0000	1.0869
15.0093	-270.0000	1.0849
15.1100	-270.0000	1.0868
15.2102	-270.0000	1.0817
15.3099	-270.0000	1.0824
15.4099	-270.0000	1.0865
15.5094	-270.0000	1.0866
15.6103	-270.0000	1.0889
15.7102	-270.0000	1.0872
15.8096	-270.0000	1.0830
15.9104	-270.0000	1.0869
16.0111	-270.0000	1.0878
16.1108	-270.0000	1.0887
16.2108	-270.0000	1.0845
16.3105	-270.0000	1.0867
16.4107	-270.0000	1.0886
16.5109	-270.0000	1.0856
16.6111	-270.0000	1.0850
16.7112	-270.0000	1.0845
16.8107	-270.0000	1.0809
16.9109	-270.0000	1.0832
17.0105	-270.0000	1.0876
17.1122	-270.0000	1.0853
17.2116	-270.0000	1.0861
17.3117	-270.0000	1.0833
17.4114	-270.0000	1.0829
17.5117	-270.0000	1.0869
17.6128	-270.0000	1.0878
17.7128	-270.0000	1.0877
17.8124	-270.0000	1.0861
17.9143	-270.0000	1.0854
18.0139	-270.0000	1.0833
18.1140	-270.0000	1.0850
18.2141	-270.0000	1.0892
18.3146	-270.0000	1.0865
18.4149	-270.0000	1.0872
18.5151	-270.0000	1.0839
18.6153	-270.0000	1.0863
18.7149	-270.0000	1.0863
18.8148	-270.0000	1.0880
18.9146	-270.0000	1.0873
19.0148	-270.0000	1.0854
19.1155	-270.0000	1.0840
19.2159	-270.0000	1.0860
19.3172	-270.0000	1.0867
19.4167	-270.0000	1.0885
19.5182	-270.0000	1.0898
19.6181	-270.0000	1.0893
19.7185	-270.0000	1.0897
19.8199	-270.0000	1.0902
19.9209	-270.0000	1.0902
20.0213	-270.0000	1.0891
20.1216	-270.0000	1.0860
20.2218	-270.0000	1.0862
20.3215	-270.0000	1.0841
20.4232	-270.0000	1.0823
20.5228	-270.0000	1.0842
20.6237	-270.0000	1.0836
20.7242	-270.0000	1.0869
20.8239	-270.0000	1.0834
20.9238	-270.0000	1.0826
21.0239	-270.0000	1.0834
21.1241	-270.0000	1.0832
21.2236	-270.0000	1.0845
21.3238	-270.0000	1.0842
21.4250	-270.0000	1.0861
21.5253	-270.0000	1.0848
21.6249	-270.0000	1.0838
21.7258	-270.0000	1.0865
21.8254	-270.0000	1.0883
21.9256	-270.0000	1.0895
22.0271	-270.0000	1.0896
22.1270	-270.0000	1.0866
22.2269	-270.0000	1.0846
22.3266	-270.0000	1.0859
22.4279	-270.0000	1.0847
22.5275	-270.0000	1.0832
22.6281	-270.0000	1.0854
22.7286	-270.0000	1.0862
