4/12/2023 3:41:07 pm
Time(s)	Displacement(mm)	Force(N)
0.0000	-315.4950	0.1475
0.1193	-315.0820	1.1681
0.2200	-314.4310	1.6096
0.3197	-313.7470	1.8010
0.4200	-313.0980	1.8862
0.5193	-312.4140	1.9282
0.6200	-311.7640	1.9442
0.7200	-311.0810	1.9431
0.8194	-310.4310	1.9280
0.9191	-309.7480	1.9050
1.0200	-309.0980	1.8753
1.1199	-308.4140	1.8403
1.2210	-307.7650	1.8057
1.3204	-307.0820	1.7703
1.4207	-306.4320	1.7329
1.5204	-305.7460	1.6952
1.6208	-305.0620	1.6565
1.7202	-304.4130	1.6216
1.8215	-303.7290	1.5896
1.9215	-303.0800	1.5565
2.0216	-302.3970	1.5274
2.1220	-301.7470	1.4964
2.2216	-301.0640	1.4729
2.3218	-300.4140	1.4449
2.4217	-299.7300	1.4241
2.5219	-299.0810	1.4020
2.6212	-298.3970	1.3774
2.7224	-297.7480	1.3627
2.8238	-297.0640	1.3425
2.9233	-296.3810	1.3283
3.0234	-295.7320	1.3118
3.1249	-295.0480	1.2965
3.2242	-294.3980	1.2808
3.3260	-293.7150	1.2711
3.4258	-293.0650	1.2615
3.5254	-292.3820	1.2507
3.6252	-291.6980	1.2417
3.7270	-291.0490	1.2303
3.8277	-290.3650	1.2238
3.9274	-289.7160	1.2167
4.0272	-289.0300	1.2112
4.1276	-288.3800	1.2006
4.2275	-287.6970	1.1960
4.3278	-287.0470	1.1897
4.4292	-286.3640	1.1873
4.5283	-285.7140	1.1797
4.6291	-285.0310	1.1735
4.7296	-284.3470	1.1690
4.8292	-283.6980	1.1651
4.9299	-283.0140	1.1623
5.0313	-282.3300	1.1602
5.1325	-281.6810	1.1599
5.2326	-280.9980	1.1573
5.3334	-280.3480	1.1539
5.4349	-279.6650	1.1516
5.5357	-278.9810	1.1470
5.6366	-278.2970	1.1465
5.7370	-277.6480	1.1463
5.8381	-276.9640	1.1442
5.9382	-276.2810	1.1449
6.0400	-275.6310	1.1481
6.1392	-274.9450	1.1476
6.2416	-274.2620	1.1492
6.3415	-273.6120	1.1503
6.4419	-272.9630	1.1497
6.5415	-272.2790	1.1556
6.6414	-271.5960	1.1612
6.7419	-270.9470	1.1664
6.8419	-270.2630	1.1710
6.9420	-269.6130	1.1807
7.0418	-268.9640	1.1902
7.1414	-268.2780	1.1968
7.2418	-267.5940	1.2070
7.3428	-266.9450	1.2132
7.4425	-266.2610	1.2250
7.5429	-265.6670	1.2136
7.6431	-265.6390	1.2311
7.7431	-265.6390	1.2315
7.8430	-265.6390	1.2309
7.9437	-265.6390	1.2335
8.0433	-265.6390	1.2332
8.1438	-265.6390	1.2304
8.2436	-265.6390	1.2313
8.3440	-265.6390	1.2331
8.4435	-265.6400	1.2328
8.5438	-265.6400	1.2326
8.6439	-265.6400	1.2299
8.7437	-265.6400	1.2345
8.8438	-265.6400	1.2335
8.9435	-265.6400	1.2321
9.0442	-265.6400	1.2292
9.1452	-265.6400	1.2316
9.2447	-265.6400	1.2297
9.3445	-265.6400	1.2318
9.4442	-265.6400	1.2300
9.5444	-265.6400	1.2290
9.6443	-265.6400	1.2295
9.7450	-265.6400	1.2294
9.8448	-265.6400	1.2307
9.9443	-265.6400	1.2283
10.0450	-265.6400	1.2279
10.1445	-265.6400	1.2293
10.2446	-265.6400	1.2309
10.3445	-265.6400	1.2272
10.4453	-265.6400	1.2270
10.5455	-265.6400	1.2287
10.6461	-265.6400	1.2272
10.7455	-265.6400	1.2304
10.8464	-265.6400	1.2298
10.9476	-265.6400	1.2327
11.0474	-265.6400	1.2285
11.1472	-265.6400	1.2305
11.2483	-265.6400	1.2303
11.3484	-265.6400	1.2308
11.4492	-265.6400	1.2311
11.5494	-265.6400	1.2276
11.6493	-265.6400	1.2280
11.7498	-265.6400	1.2310
11.8499	-265.6400	1.2296
11.9492	-265.6400	1.2304
12.0502	-265.6400	1.2278
12.1503	-265.6400	1.2304
12.2509	-265.6400	1.2291
12.3503	-265.6400	1.2290
12.4519	-265.6400	1.2270
12.5515	-265.6400	1.2272
12.6514	-265.6400	1.2268
12.7516	-265.6400	1.2257
12.8529	-265.6400	1.2230
12.9525	-265.6400	1.2281
13.0539	-265.6400	1.2250
13.1534	-265.6400	1.2252
13.2538	-265.6400	1.2258
13.3542	-265.6400	1.2290
13.4552	-265.6400	1.2276
13.5560	-265.6400	1.2260
13.6559	-265.6400	1.2273
13.7557	-265.6400	1.2274
13.8560	-265.6400	1.2254
13.9562	-265.6400	1.2240
14.0557	-265.6400	1.2258
14.1553	-265.6400	1.2280
14.2560	-265.6400	1.2259
14.3558	-265.6400	1.2260
14.4555	-265.6400	1.2272
14.5553	-265.6400	1.2282
14.6553	-265.6400	1.2314
14.7563	-265.6400	1.2279
14.8573	-265.6400	1.2286
14.9575	-265.6400	1.2286
15.0573	-265.6400	1.2279
15.1580	-265.6400	1.2279
15.2582	-265.6400	1.2289
15.3576	-265.6400	1.2293
15.4576	-265.6400	1.2277
15.5574	-265.6400	1.2284
15.6574	-265.6400	1.2289
15.7577	-265.6400	1.2294
15.8577	-265.6400	1.2300
15.9577	-265.6400	1.2270
16.0577	-265.6400	1.2296
16.1580	-265.6400	1.2296
16.2580	-265.7680	1.2143
16.3776	-266.1790	1.2157
16.4778	-266.8640	1.2126
16.5783	-267.5130	1.2034
16.6794	-268.1970	1.1907
16.7794	-268.8830	1.1809
16.8793	-269.5330	1.1703
16.9809	-270.2160	1.1640
17.0809	-270.8660	1.1537
17.1816	-271.5520	1.1466
17.2817	-272.2010	1.1401
17.3825	-272.8850	1.1398
17.4832	-273.5340	1.1378
17.5823	-274.2200	1.1365
17.6826	-274.8690	1.1349
17.7827	-275.5530	1.1369
17.8832	-276.2370	1.1330
17.9830	-276.8860	1.1296
18.0829	-277.5700	1.1289
18.1825	-278.2190	1.1329
18.2832	-278.9020	1.1311
18.3840	-279.5520	1.1291
18.4842	-280.2360	1.1300
18.5852	-280.8850	1.1279
18.6848	-281.5690	1.1291
18.7849	-282.2520	1.1296
18.8845	-282.9020	1.1304
18.9846	-283.5850	1.1274
19.0849	-284.2350	1.1294
19.1858	-284.9180	1.1238
19.2862	-285.5680	1.1237
19.3861	-286.2540	1.1259
19.4862	-286.9030	1.1238
19.5858	-287.5870	1.1265
19.6854	-288.2360	1.1245
19.7857	-288.9200	1.1238
19.8857	-289.5690	1.1227
19.9882	-290.2870	1.1212
20.0868	-290.9020	1.1191
20.1868	-291.5860	1.1169
20.2868	-292.2350	1.1158
20.3865	-292.9190	1.1113
20.4882	-293.6020	1.1021
20.5873	-294.2520	1.0964
20.6880	-294.9350	1.0932
20.7881	-295.5850	1.0829
20.8874	-296.2340	1.0687
20.9873	-296.9200	1.0582
21.0882	-297.5690	1.0471
21.1896	-298.2870	1.0327
21.2890	-298.9370	1.0173
21.3893	-299.5870	0.9940
21.4895	-300.2700	0.9709
21.5904	-300.9540	0.9457
21.6921	-301.6030	0.9194
21.7914	-302.2860	0.8983
21.8913	-302.9360	0.8728
21.9915	-303.6220	0.8374
22.0917	-304.2710	0.8025
22.1914	-304.9570	0.7689
22.2913	-305.6070	0.7257
22.3922	-306.2910	0.6818
22.4917	-306.9400	0.6351
22.5914	-307.6230	0.5853
22.6914	-308.2730	0.5275
22.7918	-308.9570	0.4658
22.8915	-309.6060	0.3982
22.9914	-310.2890	0.3281
23.0916	-310.9390	0.2481
23.1919	-311.6220	0.1620
23.2916	-312.2720	0.0649
23.3919	-312.9550	-0.0356
