4/12/2023 4:51:06 pm
Time(s)	Displacement(mm)	Force(N)
0.0000	-266.9580	1.1887
0.1217	-267.3380	1.1959
0.2214	-268.0260	1.1848
0.3212	-268.6760	1.1796
0.4219	-269.3590	1.1700
0.5220	-270.0430	1.1583
0.6229	-270.6920	1.1576
0.7224	-271.3760	1.1558
0.8220	-272.0260	1.1518
0.9225	-272.7090	1.1659
1.0225	-273.3580	1.1661
1.1230	-274.0420	1.1576
1.2230	-274.6910	1.1578
1.3230	-275.3750	1.1614
1.4233	-276.0240	1.1710
1.5245	-276.7080	1.1728
1.6243	-277.3920	1.1691
1.7240	-278.0410	1.1711
1.8248	-278.7250	1.1742
1.9246	-279.3740	1.1808
2.0259	-280.0580	1.1870
2.1253	-280.7070	1.1834
2.2257	-281.3910	1.1881
2.3256	-282.0400	1.1939
2.4268	-282.7240	1.1991
2.5267	-283.4080	1.1993
2.6272	-284.0570	1.2018
2.7277	-284.7410	1.2102
2.8270	-285.3900	1.2191
2.9288	-286.0740	1.2232
3.0285	-286.7570	1.2300
3.1285	-287.4060	1.2327
3.2299	-288.0900	1.2360
3.3296	-288.7400	1.2445
3.4298	-289.4230	1.2531
3.5309	-290.0720	1.2494
3.6311	-290.7560	1.2555
3.7319	-291.4400	1.2603
3.8326	-292.0890	1.2676
3.9322	-292.7750	1.2720
4.0330	-293.4240	1.2824
4.1335	-294.1080	1.2828
4.2345	-294.7920	1.2913
4.3358	-295.4410	1.2922
4.4342	-296.1250	1.2908
4.5352	-296.7740	1.2976
4.6369	-297.4580	1.2917
4.7370	-298.1410	1.2933
4.8371	-298.7910	1.2873
4.9389	-299.4740	1.2816
5.0390	-300.1580	1.2768
5.1380	-300.8070	1.2605
5.2389	-301.4570	1.2349
5.3388	-302.1430	1.2160
5.4382	-302.7930	1.1837
5.5390	-303.4760	1.1376
5.6396	-304.1280	1.0898
5.7399	-304.8140	1.0273
5.8405	-305.4970	0.9491
5.9412	-306.1470	0.8601
6.0422	-306.8300	0.7432
6.1430	-307.5140	0.6020
6.2437	-308.1630	0.4321
6.3430	-308.8470	0.2360
6.4430	-309.4960	0.0024
