4/12/2023 1:44:46 pm
Time(s)	Displacement(mm)	Force(N)
0.0000	-281.7970	1.0299
0.1611	-281.7970	1.0286
0.2608	-281.7970	1.0322
0.3615	-281.7970	1.0303
0.4607	-281.7970	1.0344
0.5621	-281.7970	1.0290
0.6619	-281.7970	1.0313
0.7636	-281.7970	1.0316
0.8636	-281.7970	1.0264
0.9636	-281.7970	1.0273
1.0629	-281.7970	1.0292
1.1638	-281.7970	1.0307
1.2642	-281.7970	1.0368
1.3638	-281.7970	1.0320
1.4644	-281.7970	1.0334
1.5642	-281.7970	1.0308
1.6637	-281.7970	1.0301
1.7647	-281.7970	1.0345
1.8642	-281.7970	1.0328
1.9639	-281.7970	1.0297
2.0638	-281.7970	1.0328
2.1645	-281.7970	1.0335
2.2644	-281.7970	1.0283
2.3639	-281.7970	1.0339
2.4637	-281.7970	1.0306
2.5639	-281.7970	1.0322
2.6642	-281.7970	1.0322
2.7641	-281.7970	1.0278
2.8638	-281.7970	1.0325
2.9645	-281.7970	1.0301
3.0639	-281.7970	1.0276
3.1638	-281.7970	1.0299
3.2643	-281.7970	1.0306
3.3639	-281.7970	1.0280
3.4648	-281.7970	1.0332
3.5649	-281.7970	1.0299
3.6658	-281.7970	1.0275
3.7667	-281.7970	1.0310
3.8673	-281.7970	1.0333
3.9672	-281.7970	1.0294
4.0676	-281.7970	1.0315
4.1679	-281.7970	1.0281
4.2681	-281.7970	1.0322
4.3686	-281.7970	1.0288
4.4692	-281.7970	1.0267
4.5700	-281.7970	1.0284
4.6715	-281.7970	1.0313
4.7716	-281.7970	1.0298
4.8710	-281.7970	1.0250
4.9720	-281.7970	1.0316
5.0724	-281.7970	1.0328
5.1724	-281.7970	1.0319
5.2730	-281.7970	1.0371
5.3733	-281.7970	1.0304
5.4739	-281.7970	1.0327
5.5742	-281.7970	1.0344
5.6740	-281.7970	1.0326
5.7740	-281.7970	1.0331
5.8739	-281.7970	1.0303
5.9746	-281.7970	1.0297
6.0744	-281.7970	1.0297
6.1749	-281.7970	1.0336
6.2767	-281.7970	1.0315
6.3775	-281.7970	1.0311
6.4770	-281.7970	1.0341
6.5784	-281.7970	1.0325
6.6785	-281.7970	1.0351
6.7786	-281.6300	1.0611
6.8986	-281.2490	1.0222
6.9986	-281.0000	1.0326
7.0980	-281.0000	1.0338
7.1978	-281.0000	1.0421
7.2987	-281.0000	1.0411
7.3987	-281.0000	1.0360
7.4985	-281.0000	1.0333
7.5989	-281.0000	1.0386
7.6988	-281.0000	1.0388
7.7990	-281.0000	1.0416
7.8997	-281.0000	1.0380
7.9990	-281.0000	1.0355
8.0991	-281.0000	1.0337
8.1990	-281.0000	1.0356
8.2991	-281.0000	1.0395
8.3991	-281.0000	1.0367
8.4996	-281.0000	1.0336
8.5990	-281.0000	1.0339
8.6991	-281.0000	1.0340
8.8000	-281.0000	1.0362
8.9000	-281.0000	1.0354
8.9998	-281.0000	1.0333
9.1002	-281.0000	1.0370
9.2000	-281.0000	1.0308
9.3005	-281.0000	1.0344
9.3998	-281.0000	1.0292
9.5001	-281.0000	1.0368
9.5998	-281.0000	1.0324
9.7006	-281.0000	1.0325
9.8014	-281.0000	1.0364
9.9015	-281.0000	1.0306
10.0013	-281.0000	1.0313
10.1011	-281.0000	1.0359
10.2029	-281.0000	1.0327
10.3041	-281.0000	1.0354
10.4046	-281.0000	1.0306
10.5041	-281.0000	1.0366
10.6038	-281.0000	1.0346
10.7045	-281.0000	1.0307
10.8045	-281.0000	1.0339
10.9039	-281.0000	1.0329
11.0047	-281.0000	1.0327
11.1043	-281.0000	1.0327
11.2041	-281.0000	1.0334
11.3042	-281.0000	1.0291
11.4045	-281.0000	1.0364
11.5045	-281.0000	1.0326
11.6044	-281.0000	1.0354
11.7053	-281.0000	1.0370
11.8051	-281.0000	1.0335
11.9048	-281.0000	1.0337
12.0055	-281.0000	1.0362
12.1050	-281.0000	1.0315
12.2050	-281.0000	1.0298
12.3056	-281.0000	1.0312
12.4054	-281.0000	1.0301
12.5052	-281.0000	1.0331
12.6050	-281.0000	1.0350
12.7055	-281.0000	1.0331
12.8056	-281.0000	1.0334
12.9050	-281.0000	1.0333
13.0057	-281.0000	1.0332
13.1051	-281.0000	1.0315
13.2050	-281.0000	1.0322
13.3058	-281.0000	1.0360
13.4059	-281.0000	1.0344
13.5060	-281.0000	1.0362
13.6068	-281.0000	1.0325
13.7063	-281.0000	1.0349
13.8071	-281.0000	1.0334
13.9073	-281.0000	1.0351
14.0071	-281.0000	1.0301
14.1071	-281.0000	1.0343
14.2088	-281.0000	1.0308
14.3086	-281.0000	1.0361
14.4085	-281.0000	1.0307
14.5082	-281.0000	1.0338
14.6086	-281.0000	1.0390
14.7089	-281.0000	1.0344
14.8091	-281.0000	1.0380
14.9089	-281.0000	1.0376
15.0099	-281.0000	1.0382
15.1102	-281.0000	1.0328
15.2102	-281.0000	1.0327
15.3101	-281.0000	1.0362
15.4101	-281.0000	1.0359
15.5100	-281.0000	1.0317
15.6101	-281.0000	1.0318
15.7103	-281.0000	1.0379
15.8108	-281.0000	1.0333
15.9100	-281.0000	1.0354
16.0102	-281.0000	1.0324
16.1103	-281.0000	1.0378
16.2106	-281.0000	1.0326
16.3110	-281.0000	1.0401
16.4112	-281.0000	1.0335
16.5127	-281.0000	1.0332
16.6124	-281.0000	1.0355
16.7124	-281.0000	1.0368
16.8126	-281.0000	1.0296
16.9120	-281.0000	1.0357
17.0130	-281.0000	1.0321
17.1131	-281.0000	1.0332
17.2140	-281.0000	1.0330
17.3141	-281.0000	1.0311
17.4147	-281.0000	1.0371
17.5148	-281.0000	1.0350
17.6148	-281.0000	1.0418
17.7146	-281.0000	1.0375
17.8157	-281.0000	1.0375
17.9153	-281.0000	1.0357
18.0161	-281.0000	1.0358
18.1169	-281.0000	1.0361
18.2172	-281.0000	1.0362
18.3179	-281.0000	1.0318
18.4186	-281.0000	1.0359
18.5185	-281.0000	1.0339
18.6186	-281.0000	1.0301
18.7185	-281.0000	1.0347
18.8184	-281.0000	1.0359
18.9189	-281.0000	1.0334
19.0192	-281.0000	1.0355
19.1200	-281.0000	1.0382
19.2206	-281.0000	1.0312
19.3199	-281.0000	1.0371
19.4212	-281.0000	1.0335
19.5213	-281.0000	1.0362
19.6215	-281.0000	1.0344
19.7215	-281.0000	1.0391
19.8216	-281.0000	1.0349
19.9216	-281.0000	1.0373
20.0214	-281.0000	1.0337
20.1215	-281.0000	1.0337
20.2216	-281.0000	1.0345
20.3216	-281.0000	1.0331
20.4224	-281.0000	1.0380
20.5228	-281.0000	1.0378
20.6223	-281.0000	1.0400
20.7228	-281.0000	1.0351
20.8230	-281.0000	1.0333
20.9232	-281.0000	1.0353
21.0237	-281.0000	1.0352
21.1238	-281.0000	1.0389
21.2239	-281.0000	1.0357
21.3239	-281.0000	1.0327
21.4237	-281.0000	1.0320
21.5236	-281.0000	1.0340
21.6248	-281.0000	1.0384
21.7249	-281.0000	1.0331
21.8266	-281.0000	1.0333
21.9265	-281.0000	1.0332
22.0278	-281.0000	1.0324
22.1269	-281.0000	1.0332
22.2281	-281.0000	1.0345
22.3293	-281.0000	1.0325
22.4293	-281.0000	1.0326
22.5290	-281.0000	1.0370
22.6292	-281.0000	1.0340
22.7293	-281.0000	1.0308
22.8291	-281.0000	1.0378
22.9292	-281.0000	1.0340
23.0290	-281.0000	1.0349
23.1293	-281.0000	1.0336
23.2292	-281.0000	1.0380
23.3292	-281.0000	1.0353
23.4292	-281.0000	1.0332
23.5293	-281.0000	1.0323
23.6319	-281.0000	1.0378
23.7317	-281.0000	1.0341
23.8313	-281.0000	1.0308
23.9314	-281.0000	1.0349
24.0317	-280.8270	1.0394
24.1547	-280.4450	1.0619
24.2545	-279.9950	1.0241
24.3543	-280.0000	1.0416
24.4543	-280.0000	1.0372
24.5549	-280.0000	1.0431
24.6546	-280.0000	1.0418
24.7559	-280.0000	1.0428
24.8557	-280.0000	1.0423
24.9559	-280.0000	1.0405
25.0562	-280.0000	1.0399
25.1567	-280.0000	1.0414
25.2564	-280.0000	1.0374
25.3568	-280.0000	1.0401
25.4571	-280.0000	1.0430
25.5580	-280.0000	1.0459
25.6590	-280.0000	1.0377
25.7605	-280.0000	1.0387
25.8612	-280.0000	1.0413
25.9612	-280.0000	1.0369
26.0616	-280.0000	1.0436
26.1612	-280.0000	1.0373
26.2610	-280.0000	1.0402
26.3616	-280.0000	1.0384
26.4635	-280.0000	1.0360
26.5632	-280.0000	1.0376
26.6639	-280.0000	1.0407
26.7659	-280.0000	1.0433
26.8641	-280.0000	1.0447
26.9660	-280.0000	1.0365
27.0665	-280.0000	1.0412
27.1666	-280.0000	1.0379
27.2675	-280.0000	1.0404
27.3672	-280.0000	1.0386
27.4673	-280.0000	1.0364
27.5688	-280.0000	1.0406
27.6685	-280.0000	1.0420
27.7685	-280.0000	1.0372
27.8682	-280.0000	1.0386
27.9697	-280.0000	1.0364
28.0706	-280.0000	1.0345
28.1703	-280.0000	1.0410
28.2700	-280.0000	1.0365
28.3704	-280.0000	1.0397
28.4712	-280.0000	1.0418
28.5714	-280.0000	1.0361
28.6715	-280.0000	1.0396
28.7711	-280.0000	1.0415
28.8710	-280.0000	1.0400
28.9713	-280.0000	1.0374
29.0722	-280.0000	1.0391
29.1713	-280.0000	1.0412
29.2718	-280.0000	1.0397
29.3713	-280.0000	1.0376
29.4716	-280.0000	1.0353
29.5717	-280.0000	1.0377
29.6711	-280.0000	1.0370
29.7711	-280.0000	1.0412
29.8722	-280.0000	1.0421
29.9724	-280.0000	1.0488
30.0723	-280.0000	1.0470
30.1729	-280.0000	1.0460
30.2731	-280.0000	1.0427
30.3731	-280.0000	1.0431
30.4732	-280.0000	1.0416
30.5748	-280.0000	1.0393
30.6745	-280.0000	1.0396
30.7744	-280.0000	1.0396
30.8750	-280.0000	1.0443
30.9759	-280.0000	1.0399
31.0762	-280.0000	1.0391
31.1770	-280.0000	1.0372
31.2768	-280.0000	1.0447
31.3776	-280.0000	1.0468
31.4780	-280.0000	1.0415
31.5783	-280.0000	1.0400
31.6783	-280.0000	1.0384
31.7794	-280.0000	1.0415
31.8793	-280.0000	1.0431
31.9799	-280.0000	1.0367
32.0793	-280.0000	1.0346
32.1793	-280.0000	1.0393
32.2793	-280.0000	1.0433
32.3793	-280.0000	1.0390
32.4792	-280.0000	1.0397
32.5795	-280.0000	1.0355
32.6796	-280.0000	1.0406
32.7790	-280.0000	1.0398
32.8793	-280.0000	1.0390
32.9796	-280.0000	1.0316
33.0793	-280.0000	1.0421
33.1793	-280.0000	1.0349
33.2803	-280.0000	1.0428
33.3806	-280.0000	1.0361
33.4819	-280.0000	1.0434
33.5811	-280.0000	1.0377
33.6811	-280.0000	1.0349
33.7813	-280.0000	1.0456
33.8818	-280.0000	1.0425
33.9813	-280.0000	1.0378
34.0815	-280.0000	1.0413
34.1814	-280.0000	1.0344
34.2813	-280.0000	1.0440
34.3814	-280.0000	1.0432
34.4816	-280.0000	1.0426
34.5815	-280.0000	1.0410
34.6825	-280.0000	1.0423
34.7833	-280.0000	1.0405
34.8835	-280.0000	1.0419
34.9833	-280.0000	1.0435
35.0830	-280.0000	1.0386
35.1839	-280.0000	1.0424
35.2838	-280.0000	1.0392
35.3833	-280.0000	1.0417
35.4831	-280.0000	1.0411
35.5835	-280.0000	1.0396
35.6831	-280.0000	1.0348
35.7838	-280.0000	1.0435
35.8831	-280.0000	1.0404
35.9837	-280.0000	1.0441
36.0843	-280.0000	1.0456
36.1845	-280.0000	1.0399
36.2847	-280.0000	1.0375
36.3847	-280.0000	1.0391
36.4843	-280.0000	1.0391
36.5843	-280.0000	1.0368
36.6852	-280.0000	1.0389
36.7862	-280.0000	1.0433
36.8865	-280.0000	1.0423
36.9878	-280.0000	1.0365
37.0877	-280.0000	1.0390
37.1871	-280.0000	1.0405
37.2884	-280.0000	1.0428
37.3891	-280.0000	1.0392
37.4894	-280.0000	1.0374
37.5898	-280.0000	1.0421
37.6902	-280.0000	1.0423
37.7920	-280.0000	1.0367
37.8917	-280.0000	1.0375
37.9914	-280.0000	1.0409
38.0915	-280.0000	1.0413
38.1914	-280.0000	1.0406
38.2918	-280.0000	1.0405
38.3916	-280.0000	1.0400
38.4916	-280.0000	1.0369
38.5914	-280.0000	1.0428
38.6918	-280.0000	1.0436
38.7914	-280.0000	1.0440
38.8916	-280.0000	1.0420
38.9918	-280.0000	1.0369
39.0913	-280.0000	1.0398
39.1914	-280.0000	1.0415
39.2918	-280.0000	1.0403
39.3916	-280.0000	1.0419
39.4918	-280.0000	1.0398
39.5918	-280.0000	1.0402
39.6919	-280.0000	1.0441
39.7925	-280.0000	1.0407
39.8923	-280.0000	1.0394
39.9927	-280.0000	1.0447
40.0924	-280.0000	1.0424
40.1933	-280.0000	1.0423
40.2949	-280.0000	1.0407
40.3954	-280.0000	1.0426
40.4954	-280.0000	1.0449
40.5967	-280.0000	1.0468
40.6963	-280.0000	1.0449
40.7965	-280.0000	1.0377
40.8972	-280.0000	1.0395
40.9975	-280.0000	1.0433
41.0982	-280.0000	1.0446
41.1985	-280.0000	1.0406
41.2984	-280.0000	1.0423
41.3987	-280.0000	1.0388
41.4982	-280.0000	1.0389
41.5983	-280.0000	1.0417
41.6985	-280.0000	1.0439
41.7985	-280.0000	1.0382
41.8995	-280.0000	1.0360
41.9995	-280.0000	1.0370
42.1009	-280.0000	1.0415
42.2021	-280.0000	1.0372
42.3014	-280.0000	1.0386
42.4015	-280.0000	1.0351
42.5018	-280.0000	1.0427
42.6031	-280.0000	1.0410
42.7027	-280.0000	1.0413
42.8025	-280.0000	1.0426
42.9036	-280.0000	1.0412
43.0032	-280.0000	1.0446
43.1033	-280.0000	1.0386
43.2040	-280.0000	1.0415
43.3037	-280.0000	1.0450
43.4051	-280.0000	1.0420
43.5045	-280.0000	1.0468
43.6043	-280.0000	1.0333
43.7044	-280.0000	1.0381
43.8047	-280.0000	1.0443
43.9043	-280.0000	1.0421
44.0052	-280.0000	1.0389
44.1054	-280.0000	1.0531
44.2061	-280.0000	1.0366
44.3054	-280.0000	1.0414
44.4061	-280.0000	1.0413
44.5054	-280.0000	1.0404
44.6060	-280.0000	1.0383
44.7063	-280.0000	1.0479
44.8072	-280.0000	1.0402
44.9071	-280.0000	1.0385
45.0079	-280.0000	1.0370
45.1082	-280.0000	1.0444
45.2091	-280.0000	1.0418
45.3100	-280.0000	1.0369
45.4095	-280.0000	1.0416
45.5094	-280.0000	1.0428
45.6095	-280.0000	1.0432
45.7095	-280.0000	1.0409
45.8095	-280.0000	1.0385
45.9094	-280.0000	1.0404
46.0097	-280.0000	1.0436
46.1095	-280.0000	1.0461
46.2098	-280.0000	1.0364
46.3094	-280.0000	1.0375
46.4096	-280.0000	1.0415
46.5095	-280.0000	1.0363
46.6102	-280.0000	1.0340
46.7112	-280.0000	1.0408
46.8112	-280.0000	1.0371
46.9118	-280.0000	1.0447
47.0118	-280.0000	1.0300
47.1118	-280.0000	1.0376
47.2118	-280.0000	1.0414
47.3119	-280.0000	1.0311
47.4118	-280.0000	1.0451
47.5119	-280.0000	1.0352
47.6119	-280.0000	1.0407
47.7124	-280.0000	1.0343
47.8132	-280.0000	1.0423
47.9129	-280.0000	1.0458
48.0135	-280.0000	1.0350
48.1135	-280.0000	1.0470
48.2138	-280.0000	1.0420
48.3134	-280.0000	1.0398
48.4138	-280.0000	1.0396
48.5150	-280.0000	1.0392
48.6147	-280.0000	1.0434
48.7144	-280.0000	1.0421
48.8144	-280.0000	1.0349
48.9145	-280.0000	1.0394
49.0161	-280.0000	1.0424
49.1155	-280.0000	1.0421
49.2167	-280.0000	1.0407
49.3170	-280.0000	1.0400
49.4165	-280.0000	1.0409
49.5179	-280.0000	1.0385
49.6176	-280.0000	1.0419
49.7174	-280.0000	1.0398
49.8184	-280.0000	1.0414
49.9182	-280.0000	1.0388
50.0187	-280.0000	1.0387
50.1189	-280.0000	1.0428
50.2185	-280.0000	1.0427
50.3185	-280.0000	1.0419
50.4189	-280.0000	1.0411
50.5189	-280.0000	1.0375
50.6195	-280.0000	1.0400
50.7195	-280.0000	1.0412
50.8203	-280.0000	1.0382
50.9202	-280.0000	1.0372
