4/12/2023 4:53:29 pm
Time(s)	Displacement(mm)	Force(N)
0.0000	-266.9520	1.2120
0.1366	-267.4700	1.2161
0.2377	-268.1190	1.2105
0.3381	-268.8030	1.1988
0.4379	-269.4860	1.1948
0.5383	-270.1360	1.1831
0.6388	-270.8200	1.1762
0.7403	-271.5030	1.1681
0.8405	-272.1530	1.1686
0.9398	-272.8020	1.1655
1.0417	-273.4880	1.1599
1.1434	-274.1710	1.1680
1.2433	-274.8210	1.1712
1.3436	-275.5050	1.1747
1.4435	-276.1540	1.1695
1.5436	-276.8400	1.1754
1.6455	-277.5230	1.1764
1.7449	-278.1730	1.1831
1.8456	-278.8570	1.1786
1.9453	-279.5060	1.1816
2.0452	-280.1900	1.1894
2.1464	-280.8390	1.1948
2.2466	-281.5230	1.1963
2.3475	-282.2060	1.1983
2.4475	-282.8560	1.1987
2.5477	-283.5390	1.2063
2.6488	-284.2230	1.2143
2.7495	-284.8720	1.2135
2.8492	-285.5560	1.2242
2.9490	-286.2060	1.2286
3.0503	-286.8890	1.2301
3.1501	-287.5380	1.2362
3.2511	-288.2250	1.2408
3.3511	-288.8740	1.2510
3.4509	-289.5580	1.2550
3.5520	-290.2410	1.2616
3.6519	-290.8910	1.2609
3.7524	-291.5740	1.2733
3.8520	-292.2240	1.2763
3.9519	-292.9070	1.2794
4.0533	-293.5560	1.2863
4.1536	-294.2400	1.2905
4.2529	-294.8890	1.2972
4.3529	-295.5730	1.2973
4.4529	-296.2570	1.3015
4.5546	-296.9060	1.3045
4.6539	-297.5890	1.3014
4.7542	-298.2390	1.2970
4.8545	-298.9230	1.2934
4.9537	-299.5720	1.2846
5.0549	-300.2560	1.2727
5.1555	-300.9390	1.2626
5.2550	-301.5890	1.2448
5.3551	-302.2720	1.2192
5.4551	-302.9220	1.1816
5.5555	-303.6050	1.1384
5.6567	-304.2550	1.0908
5.7570	-304.9390	1.0253
5.8568	-305.5880	0.9450
5.9588	-306.2710	0.8491
6.0603	-306.9550	0.7327
6.1609	-307.6380	0.5871
6.2616	-308.2880	0.4177
6.3609	-308.9720	0.2113
6.4619	-309.6210	-0.0295
6.5629	-310.3050	-0.3142
6.6629	-310.9880	-0.6536
6.7638	-311.6370	-1.0507
6.8641	-312.3210	-1.5212
6.9657	-312.9710	-2.0697
7.0655	-313.6540	-2.7010
7.1652	-314.3030	-3.4208
7.2651	-314.9900	-4.2392
7.3652	-315.6390	-5.1580
7.4656	-316.3230	-6.2290
7.5653	-316.8060	-6.9406
7.6656	-316.8010	-6.8622
7.7657	-316.8010	-6.8106
7.8652	-316.8010	-6.7795
7.9667	-316.8010	-6.7531
8.0661	-316.8000	-6.7320
8.1659	-316.8000	-6.7185
8.2668	-316.8000	-6.7052
8.3677	-316.8000	-6.6930
8.4677	-316.8000	-6.6799
8.5686	-316.8000	-6.6749
8.6691	-316.8000	-6.6692
8.7690	-316.8000	-6.6576
8.8696	-316.8000	-6.6539
8.9697	-316.8000	-6.6475
9.0706	-316.8000	-6.6428
9.1705	-316.8000	-6.6360
9.2705	-316.8000	-6.6326
9.3710	-316.8000	-6.6261
9.4707	-316.8000	-6.6214
9.5701	-316.8000	-6.6173
9.6702	-316.8000	-6.6142
9.7704	-316.8000	-6.6074
9.8717	-316.8000	-6.6047
9.9724	-316.8000	-6.6010
10.0735	-316.8000	-6.5967
10.1733	-316.8000	-6.6017
10.2728	-316.8000	-6.5941
10.3735	-316.8000	-6.5912
10.4747	-316.8000	-6.5894
10.5758	-316.8000	-6.5844
10.6749	-316.8000	-6.5797
10.7749	-316.8000	-6.5799
10.8761	-316.8000	-6.5812
10.9769	-316.8000	-6.5776
11.0777	-316.8000	-6.5731
11.1784	-316.8000	-6.5711
11.2785	-316.8000	-6.5662
11.3783	-316.8000	-6.5638
11.4786	-316.8000	-6.5629
11.5787	-316.8000	-6.5618
11.6780	-316.8000	-6.5614
11.7784	-316.8000	-6.5573
11.8779	-316.8000	-6.5560
11.9780	-316.8000	-6.5557
12.0784	-316.8000	-6.5503
12.1790	-316.8000	-6.5482
12.2794	-316.8000	-6.5506
12.3791	-316.8000	-6.5474
12.4789	-316.8000	-6.5445
12.5791	-316.8000	-6.5442
12.6790	-316.8000	-6.5440
12.7790	-316.8000	-6.5398
12.8798	-316.8000	-6.5388
12.9797	-316.8000	-6.5395
13.0797	-316.8000	-6.5360
13.1798	-316.8000	-6.5381
13.2805	-316.8000	-6.5351
13.3810	-316.8000	-6.5299
