4/12/2023 3:36:53 pm
Time(s)	Displacement(mm)	Force(N)
0.0000	-267.3350	1.1533
0.1410	-267.3350	1.1532
0.2415	-267.3350	1.1536
0.3423	-267.3350	1.1537
0.4430	-267.3350	1.1544
0.5427	-267.3350	1.1543
0.6425	-267.3350	1.1554
0.7436	-267.3350	1.1553
0.8445	-267.3350	1.1577
0.9452	-267.3350	1.1560
1.0463	-267.3350	1.1557
1.1463	-267.3350	1.1556
1.2461	-267.3350	1.1564
1.3457	-267.3350	1.1570
1.4459	-267.3350	1.1560
1.5464	-267.3350	1.1583
1.6460	-267.3350	1.1575
1.7456	-267.3350	1.1586
1.8455	-267.3350	1.1550
1.9466	-267.3350	1.1564
2.0475	-267.3350	1.1564
2.1473	-267.3350	1.1549
2.2471	-267.3350	1.1563
2.3473	-267.3350	1.1536
2.4480	-267.3350	1.1550
2.5476	-267.3350	1.1537
2.6479	-267.3350	1.1549
2.7485	-267.3350	1.1564
2.8477	-267.3350	1.1547
2.9495	-267.3350	1.1567
3.0496	-267.3350	1.1597
3.1496	-267.3350	1.1547
3.2496	-267.3350	1.1554
3.3499	-267.3350	1.1563
3.4499	-267.3350	1.1539
3.5506	-267.3350	1.1527
3.6513	-267.3350	1.1522
3.7506	-267.3350	1.1565
3.8506	-267.3350	1.1520
3.9509	-267.3350	1.1549
4.0514	-267.3350	1.1561
4.1507	-267.3350	1.1585
4.2505	-267.3350	1.1550
4.3505	-267.3350	1.1582
4.4506	-267.3350	1.1567
4.5514	-267.3350	1.1577
4.6514	-267.3350	1.1572
4.7505	-267.3350	1.1593
4.8508	-267.1990	1.1748
4.9724	-266.9950	1.1476
5.0719	-267.0000	1.1646
5.1717	-267.0000	1.1651
5.2718	-267.0000	1.1650
5.3724	-267.0000	1.1640
5.4725	-267.0000	1.1634
5.5717	-267.0000	1.1621
5.6723	-267.0000	1.1595
5.7720	-267.0000	1.1617
5.8717	-267.0000	1.1606
5.9729	-267.0000	1.1609
6.0732	-267.0000	1.1602
