27/11/2023 10:22:30 am
Time(s)	Displacement(mm) Force(N)
24.5530	50.0000	-0.3493
24.6528	50.0000	-0.3470
24.7533	50.0000	-0.3154
24.8533	50.0000	-0.3364
24.9536	50.0000	-0.3542
25.0537	50.0000	-0.3535
25.1537	50.0000	-0.3533
25.2530	50.0000	-0.3408
25.3537	50.0000	-0.3349
25.4530	50.0000	-0.3441
25.5532	50.0000	-0.3442
25.6529	50.0000	-0.3542
25.7530	50.0000	-0.3377
25.8537	50.0000	-0.3541
25.9539	50.0000	-0.3497
26.0543	50.0000	-0.3339
26.1545	50.0000	-0.3361
26.2546	50.0000	-0.3305
26.3543	50.0000	-0.3507
26.4546	50.0000	-0.3555
26.5549	50.0000	-0.3561
26.6551	50.0000	-0.3579
26.7549	50.0000	-0.3579
26.8552	50.0000	-0.3536
26.9562	50.0000	-0.3479
27.0561	50.0000	-0.3344
27.1568	50.0000	-0.3280
27.2569	50.0000	-0.3234
27.3570	50.0000	-0.3384
27.4576	50.0000	-0.3372
27.5574	50.0000	-0.3531
27.6573	50.0000	-0.3565
27.7577	50.0000	-0.3452
27.8574	50.0000	-0.3298
27.9579	50.0000	-0.3429
28.0590	50.0000	-0.3557
28.1591	50.0000	-0.3401
28.2598	50.0000	-0.3424
28.3597	50.0000	-0.3470
28.4598	50.0000	-0.3420
28.5590	50.0000	-0.3452
28.6594	50.0000	-0.3414
28.7596	50.0000	-0.3463
28.8597	50.0000	-0.3547
28.9598	50.0000	-0.3405
29.0597	50.0000	-0.3363
29.1596	50.0000	-0.3476
29.2598	50.0000	-0.3567
29.3598	50.0000	-0.3443
29.4598	50.0000	-0.3348
29.5604	50.0000	-0.3498
29.6617	50.0000	-0.3421
29.7617	50.0000	-0.3338
29.8616	50.0000	-0.3508
29.9613	50.0000	-0.3428
30.0621	50.0000	-0.3391
30.1622	50.0000	-0.3463
30.2618	50.0000	-0.3480
30.3624	50.0000	-0.3354
30.4621	50.0000	-0.3510
30.5622	50.0000	-0.3432
30.6622	50.0000	-0.3420
30.7639	50.0000	-0.3450
30.8641	50.0000	-0.3499
30.9641	50.0000	-0.3343
31.0643	50.0000	-0.3532
31.1642	50.0000	-0.3408
31.2642	50.0000	-0.3490
31.3642	50.0000	-0.3413
31.4644	50.0000	-0.3465
31.5644	50.0000	-0.3364
31.6649	50.0000	-0.3308
31.7657	50.0000	-0.3430
31.8660	50.0000	-0.3553
31.9664	50.0000	-0.3441
32.0665	50.0000	-0.3355
32.1664	50.0000	-0.3433
32.2669	50.0000	-0.3546
32.3688	50.0000	-0.3549
32.4683	50.0000	-0.3374
32.5683	50.0000	-0.3525
32.6683	50.0000	-0.3397
32.7684	50.0000	-0.3485
32.8679	50.0000	-0.3349
32.9678	50.0000	-0.3422
33.0679	50.0000	-0.3520
33.1678	50.0000	-0.3405
33.2686	50.0000	-0.3478
33.3679	50.0000	-0.3488
33.4683	50.0000	-0.3433
33.5686	50.0000	-0.3443
33.6697	50.0000	-0.3449
33.7697	50.0000	-0.3434
33.8698	50.0000	-0.3396
33.9693	50.0000	-0.3484
34.0693	50.0000	-0.3434
34.1697	50.0000	-0.3423
34.2698	50.0000	-0.3406
34.3699	50.0000	-0.3510
34.4700	50.0000	-0.3539
34.5718	50.0000	-0.3289
34.6715	50.0000	-0.3330
34.7713	50.0000	-0.3515
34.8728	50.0000	-0.3553
34.9726	50.0000	-0.3403
35.0721	50.0000	-0.3524
35.1722	50.0000	-0.3380
35.2722	50.0000	-0.3534
35.3722	50.0000	-0.3415
35.4721	50.0000	-0.3473
35.5722	50.0000	-0.3452
