4/12/2023 9:33:35 am
Time(s)	Displacement(mm)	Force(N)
0.0000	-216.1370	1.3104
0.1286	-216.5840	1.3256
0.2303	-217.2710	1.3242
0.3301	-217.9550	1.3266
0.4298	-218.6040	1.3284
0.5296	-219.2880	1.3278
0.6303	-219.9380	1.3265
0.7300	-220.6220	1.3287
0.8298	-221.2710	1.3252
0.9307	-221.9550	1.3262
1.0313	-222.6040	1.3247
1.1310	-223.2870	1.3247
1.2315	-223.9710	1.3229
1.3309	-224.6200	1.3235
1.4308	-225.2700	1.3242
1.5310	-225.9560	1.3263
1.6306	-226.6050	1.3266
1.7317	-227.2890	1.3274
1.8321	-227.9730	1.3256
1.9323	-228.6220	1.3270
2.0319	-229.3050	1.3243
2.1321	-229.9550	1.3269
2.2317	-230.6380	1.3269
2.3322	-231.2880	1.3267
2.4323	-231.9710	1.3249
2.5321	-232.6210	1.3255
2.6318	-233.3040	1.3234
2.7320	-233.9540	1.3247
2.8321	-234.6370	1.3267
2.9319	-235.2870	1.3242
3.0326	-235.9700	1.3251
3.1322	-236.6200	1.3238
3.2318	-237.3040	1.3250
3.3320	-237.9530	1.3254
3.4327	-238.6360	1.3252
3.5327	-239.2860	1.3234
3.6328	-239.9700	1.3263
3.7330	-240.6190	1.3247
3.8338	-241.3020	1.3227
3.9340	-241.9860	1.3262
4.0348	-242.6360	1.3246
4.1349	-243.3190	1.3262
4.2349	-243.9690	1.3239
4.3355	-244.6520	1.3259
4.4349	-245.3020	1.3267
4.5349	-245.9850	1.3294
4.6349	-246.6340	1.3250
4.7349	-247.3180	1.3237
4.8349	-247.9680	1.3251
4.9349	-248.6510	1.3248
5.0357	-249.3010	1.3248
5.1361	-249.9860	1.3256
5.2370	-250.6700	1.3215
5.3368	-251.3190	1.3209
5.4375	-252.0030	1.3262
5.5373	-252.6530	1.3243
5.6370	-253.3360	1.3226
5.7372	-253.9850	1.3226
5.8373	-254.6700	1.3213
5.9371	-255.3190	1.3213
6.0374	-256.0030	1.3260
6.1369	-256.6520	1.3251
6.2374	-257.3350	1.3184
6.3373	-257.9850	1.3208
6.4374	-258.6680	1.3273
6.5374	-259.3180	1.3213
6.6370	-260.0010	1.3214
6.7372	-260.6510	1.3215
6.8371	-261.3340	1.3216
6.9374	-261.9840	1.3205
7.0373	-262.6670	1.3201
7.1373	-263.3160	1.3213
7.2374	-264.0000	1.3241
7.3373	-264.6490	1.3182
7.4374	-265.3330	1.3185
7.5370	-265.9830	1.3187
7.6372	-266.6660	1.3189
7.7374	-267.3160	1.3173
7.8374	-267.9990	1.3209
7.9373	-268.6830	1.3166
8.0371	-269.3320	1.3172
8.1369	-269.9820	1.3157
8.2372	-270.6650	1.3181
8.3375	-271.3150	1.3117
8.4373	-271.9980	1.3139
8.5373	-272.6480	1.3114
8.6374	-273.3310	1.3135
8.7374	-273.9810	1.3110
8.8380	-274.6640	1.3109
8.9389	-275.3480	1.3067
9.0399	-275.9970	1.3054
9.1398	-276.6810	1.3052
9.2413	-277.3650	1.3019
9.3420	-278.0140	1.3020
9.4431	-278.6980	1.2978
9.5432	-279.3470	1.2986
9.6438	-280.0330	1.2986
9.7451	-280.7160	1.2944
9.8450	-281.3660	1.2907
9.9457	-282.0490	1.2847
10.0464	-282.7330	1.2854
10.1468	-283.3830	1.2804
10.2471	-284.0660	1.2772
10.3480	-284.7500	1.2701
10.4487	-285.3990	1.2683
10.5483	-286.0830	1.2599
10.6485	-286.7320	1.2545
10.7483	-287.3820	1.2473
10.8480	-288.0680	1.2399
10.9491	-288.7510	1.2334
11.0488	-289.4010	1.2307
11.1494	-290.0840	1.2117
11.2501	-290.7340	1.2067
11.3509	-291.4170	1.1934
11.4524	-292.1010	1.1793
11.5526	-292.7500	1.1635
11.6527	-293.4360	1.1493
11.7530	-294.0860	1.1305
11.8533	-294.7690	1.1088
11.9533	-295.4190	1.0889
12.0531	-296.1050	1.0659
12.1530	-296.7540	1.0372
12.2529	-297.4380	1.0074
12.3535	-298.0870	0.9748
12.4530	-298.7710	0.9354
12.5548	-299.4200	0.8962
12.6548	-300.1060	0.8483
12.7545	-300.7900	0.8003
12.8540	-301.4400	0.7399
12.9539	-302.0890	0.6801
13.0546	-302.7750	0.6040
13.1539	-303.4580	0.5264
13.2543	-304.1080	0.4332
13.3539	-304.7570	0.3323
13.4549	-305.4410	0.2221
13.5559	-306.1240	0.0967
13.6567	-306.7730	-0.0484
13.7569	-307.4570	-0.2061
13.8574	-308.1070	-0.3849
13.9571	-308.7900	-0.5930
14.0573	-309.4740	-0.8190
14.1575	-310.1230	-1.0744
14.2575	-310.7730	-1.3609
14.3574	-311.4590	-1.6877
14.4576	-312.1420	-2.0587
14.5578	-312.7920	-2.4846
14.6576	-313.4410	-2.9661
14.7580	-314.1250	-3.5209
14.8587	-314.8080	-4.1620
14.9591	-315.4920	-4.8929
15.0594	-316.0030	-5.1933
15.1599	-316.0020	-4.7646
15.2599	-316.0020	-4.5331
15.3597	-316.0020	-4.3847
15.4597	-316.0020	-4.2787
15.5595	-316.0010	-4.1950
15.6595	-316.0010	-4.1246
15.7599	-316.0010	-4.0681
15.8610	-316.0010	-4.0173
15.9624	-316.0010	-3.9767
16.0621	-316.0010	-3.9417
16.1639	-316.0010	-3.9030
16.2634	-316.0010	-3.8645
16.3633	-316.0010	-3.8392
16.4633	-316.0010	-3.8162
16.5631	-316.0010	-3.7909
16.6633	-316.0010	-3.7644
16.7630	-316.0010	-3.7477
16.8639	-316.0010	-3.7274
16.9632	-316.0010	-3.7129
17.0630	-316.0010	-3.6922
17.1630	-316.0010	-3.6718
17.2640	-316.0010	-3.6582
17.3645	-316.0010	-3.6457
17.4649	-316.0010	-3.6316
17.5645	-316.0010	-3.6197
17.6647	-316.0010	-3.6084
17.7640	-316.0010	-3.5908
17.8647	-316.0010	-3.5848
17.9649	-316.0010	-3.5667
18.0652	-316.0010	-3.5569
18.1651	-316.0010	-3.5400
18.2653	-316.0010	-3.5362
18.3653	-316.0010	-3.5215
18.4653	-316.0010	-3.5190
18.5652	-316.0010	-3.5130
18.6652	-316.0010	-3.4944
18.7653	-316.0010	-3.4864
18.8653	-316.0010	-3.4798
18.9653	-316.0010	-3.4765
19.0653	-316.0010	-3.4597
19.1653	-316.0010	-3.4572
19.2653	-316.0010	-3.4451
19.3655	-315.8530	-3.3962
19.4877	-315.4390	-2.1718
19.5874	-314.7890	-0.6983
19.6877	-314.1050	0.2853
19.7877	-313.4560	0.8185
19.8877	-312.7720	1.0024
19.9876	-312.0890	1.2065
20.0883	-311.4390	1.2684
20.1889	-310.7560	1.3065
20.2889	-310.1060	1.3392
20.3889	-309.4570	1.3627
20.4889	-308.7710	1.3622
20.5881	-308.1210	1.3590
20.6896	-307.4380	1.3547
20.7902	-306.7540	1.3552
20.8911	-306.0710	1.3552
20.9919	-305.4210	1.3569
21.0911	-304.7380	1.3564
21.1915	-304.0890	1.3560
21.2914	-303.4390	1.3577
21.3911	-302.7530	1.3547
21.4918	-302.1030	1.3565
21.5922	-301.4170	1.3557
21.6922	-300.7340	1.3552
21.7927	-300.0840	1.3537
21.8924	-299.4010	1.3551
21.9921	-298.7510	1.3538
22.0927	-298.0680	1.3502
22.1932	-297.4180	1.3534
22.2938	-296.7350	1.3545
22.3939	-296.0510	1.3525
22.4943	-295.4020	1.3540
22.5946	-294.7180	1.3530
22.6942	-294.0690	1.3528
22.7950	-293.3850	1.3516
22.8951	-292.7360	1.3503
22.9954	-292.0520	1.3515
23.0954	-291.4020	1.3562
23.1954	-290.7190	1.3531
23.2954	-290.0690	1.3544
23.3954	-289.3860	1.3538
23.4954	-288.7370	1.3538
23.5954	-288.0530	1.3505
23.6954	-287.4040	1.3527
23.7954	-286.7180	1.3523
23.8954	-286.0680	1.3542
23.9954	-285.3840	1.3542
24.0956	-284.7350	1.3533
24.1953	-284.0510	1.3508
24.2971	-283.3680	1.3494
24.3968	-282.7180	1.3513
24.4964	-282.0690	1.3514
24.5973	-281.3850	1.3507
24.6975	-280.7020	1.3507
24.7975	-280.0520	1.3523
24.8976	-279.3690	1.3519
24.9975	-278.7190	1.3546
25.0976	-278.0360	1.3561
25.1976	-277.3860	1.3519
25.2978	-276.7030	1.3523
25.3977	-276.0530	1.3542
25.4977	-275.3700	1.3530
25.5979	-274.7210	1.3493
