4/12/2023 4:44:02 pm
Time(s)	Displacement(mm)	Force(N)
0.0000	-266.9620	1.1273
0.1215	-267.3430	1.1408
0.2214	-268.0290	1.1425
0.3227	-268.7120	1.1412
0.4235	-269.3620	1.1430
0.5239	-270.0480	1.1430
0.6241	-270.7320	1.1421
0.7236	-271.3810	1.1381
0.8244	-272.0310	1.1399
0.9250	-272.7170	1.1470
1.0251	-273.3660	1.1468
1.1248	-274.0500	1.1463
1.2250	-274.6990	1.1467
1.3256	-275.3850	1.1539
1.4261	-276.0680	1.1586
1.5261	-276.7180	1.1609
1.6264	-277.4020	1.1596
1.7269	-278.0510	1.1618
1.8269	-278.7350	1.1678
1.9268	-279.4180	1.1674
2.0281	-280.0670	1.1693
2.1279	-280.7170	1.1771
2.2275	-281.4030	1.1849
2.3293	-282.0870	1.1839
2.4287	-282.7360	1.1834
2.5290	-283.4200	1.1855
2.6287	-284.0690	1.1933
2.7285	-284.7530	1.1959
2.8302	-285.4020	1.1980
2.9299	-286.0860	1.2017
3.0294	-286.7350	1.2075
3.1298	-287.4210	1.2153
3.2312	-288.1050	1.2144
3.3307	-288.7540	1.2209
3.4303	-289.4380	1.2236
3.5309	-290.0870	1.2332
3.6306	-290.7710	1.2322
3.7303	-291.4200	1.2363
3.8306	-292.0690	1.2414
3.9306	-292.7560	1.2500
4.0319	-293.4390	1.2506
4.1319	-294.0890	1.2539
4.2314	-294.7720	1.2585
4.3313	-295.4220	1.2585
4.4318	-296.1050	1.2599
4.5315	-296.7550	1.2600
4.6324	-297.4380	1.2579
4.7338	-298.1220	1.2495
4.8350	-298.7710	1.2441
4.9358	-299.4550	1.2327
5.0358	-300.1390	1.2240
5.1372	-300.7880	1.2050
5.2371	-301.4720	1.1820
5.3368	-302.1210	1.1513
5.4371	-302.8050	1.1147
5.5382	-303.4540	1.0650
5.6378	-304.1370	1.0104
5.7390	-304.8210	0.9440
5.8401	-305.4710	0.8606
5.9412	-306.1540	0.7602
6.0421	-306.8370	0.6366
6.1430	-307.4870	0.4883
6.2430	-308.1730	0.3156
6.3429	-308.8220	0.1060
6.4428	-309.5060	-0.1398
6.5442	-310.1900	-0.4289
6.6451	-310.8730	-0.7725
6.7461	-311.5230	-1.1748
6.8462	-312.1720	-1.6447
6.9462	-312.8560	-2.1938
7.0456	-313.5050	-2.8299
7.1458	-314.1910	-3.5562
7.2460	-314.8400	-4.3786
7.3463	-315.5260	-5.2850
7.4463	-316.1760	-6.3408
7.5466	-316.7840	-7.2165
7.6473	-316.8010	-7.1683
7.7474	-316.8010	-7.1097
7.8477	-316.8010	-7.0730
7.9479	-316.8010	-7.0461
8.0485	-316.8010	-7.0249
8.1503	-316.8000	-7.0068
8.2500	-316.8000	-6.9938
8.3496	-316.8000	-6.9827
8.4497	-316.8000	-6.9699
8.5496	-316.8000	-6.9642
8.6497	-316.8000	-6.9560
8.7508	-316.8000	-6.9462
8.8522	-316.8000	-6.9386
8.9526	-316.8000	-6.9310
9.0534	-316.8000	-6.9281
9.1540	-316.8000	-6.9211
9.2544	-316.8000	-6.9141
9.3551	-316.8000	-6.9104
9.4550	-316.8000	-6.9063
9.5554	-316.8000	-6.9026
9.6566	-316.8000	-6.9020
9.7571	-316.8000	-6.8945
9.8578	-316.8000	-6.8934
9.9589	-316.8000	-6.8878
10.0595	-316.8000	-6.8826
10.1598	-316.8000	-6.8827
10.2597	-316.8000	-6.8785
10.3597	-316.8000	-6.8722
10.4597	-316.8000	-6.8697
10.5602	-316.8000	-6.8681
10.6598	-316.8000	-6.8636
10.7596	-316.8000	-6.8614
10.8597	-316.8000	-6.8548
10.9594	-316.8000	-6.8572
11.0596	-316.8000	-6.8530
11.1596	-316.8000	-6.8497
11.2610	-316.8000	-6.8485
11.3606	-316.8000	-6.8492
11.4608	-316.8000	-6.8450
11.5608	-316.8000	-6.8407
11.6609	-316.8000	-6.8415
11.7605	-316.8000	-6.8367
11.8609	-316.8000	-6.8336
11.9610	-316.8000	-6.8308
12.0617	-316.8000	-6.8285
12.1619	-316.8000	-6.8253
12.2617	-316.8000	-6.8260
12.3627	-316.8000	-6.8274
12.4628	-316.8000	-6.8217
12.5633	-316.8000	-6.8179
12.6627	-316.8000	-6.8200
12.7639	-316.8000	-6.8161
12.8645	-316.8000	-6.8208
12.9649	-316.8000	-6.8197
13.0656	-316.8000	-6.8099
13.1663	-316.8000	-6.8105
13.2661	-316.8000	-6.8103
13.3667	-316.8000	-6.8081
13.4669	-316.8000	-6.8048
13.5666	-316.8000	-6.8056
13.6669	-316.8000	-6.8026
13.7675	-316.8000	-6.8029
13.8689	-316.8000	-6.8028
13.9700	-316.8000	-6.7991
14.0713	-316.8000	-6.7985
14.1720	-316.8000	-6.7968
14.2717	-316.8000	-6.7975
14.3719	-316.8000	-6.7957
14.4715	-316.8000	-6.7936
14.5741	-316.8000	-6.7883
14.6751	-316.8000	-6.7891
14.7746	-316.8000	-6.7893
14.8765	-316.8000	-6.7889
14.9773	-316.8000	-6.7918
15.0768	-316.8000	-6.7860
15.1765	-316.8000	-6.7869
15.2770	-316.8000	-6.7858
15.3771	-316.8000	-6.7880
15.4771	-316.8000	-6.7815
15.5771	-316.8000	-6.7795
15.6768	-316.8000	-6.7797
15.7767	-316.8000	-6.7787
15.8767	-316.8000	-6.7791
15.9769	-316.8000	-6.7804
16.0774	-316.8000	-6.7741
16.1781	-316.8000	-6.7693
16.2778	-316.8000	-6.7718
16.3784	-316.8000	-6.7711
16.4781	-316.8000	-6.7714
16.5776	-316.8000	-6.7678
16.6786	-316.8000	-6.7701
16.7790	-316.8000	-6.7716
16.8786	-316.8000	-6.7675
16.9791	-316.8000	-6.7655
17.0789	-316.8000	-6.7695
17.1792	-316.8000	-6.7652
17.2786	-316.8000	-6.7615
17.3792	-316.8000	-6.7625
17.4792	-316.8000	-6.7598
17.5790	-316.8000	-6.7611
17.6798	-316.8000	-6.7593
17.7798	-316.8000	-6.7592
17.8798	-316.8000	-6.7598
17.9797	-316.8000	-6.7575
18.0805	-316.8000	-6.7549
18.1811	-316.8000	-6.7591
18.2820	-316.8000	-6.7571
18.3826	-316.8000	-6.7544
18.4825	-316.8000	-6.7538
18.5833	-316.8000	-6.7542
18.6828	-316.8000	-6.7530
18.7825	-316.8000	-6.7478
18.8833	-316.8000	-6.7476
18.9826	-316.8000	-6.7473
19.0828	-316.8000	-6.7452
19.1827	-316.8000	-6.7439
19.2829	-316.8000	-6.7452
19.3833	-316.8000	-6.7488
19.4825	-316.8000	-6.7441
19.5827	-316.8000	-6.7459
19.6829	-316.8000	-6.7449
19.7842	-316.8000	-6.7458
19.8840	-316.8000	-6.7415
19.9851	-316.8000	-6.7412
20.0851	-316.8000	-6.7384
20.1863	-316.8000	-6.7375
20.2868	-316.8000	-6.7392
20.3873	-316.8000	-6.7376
20.4865	-316.8000	-6.7393
20.5867	-316.8000	-6.7361
20.6873	-316.8000	-6.7347
20.7871	-316.8000	-6.7314
20.8879	-316.8000	-6.7334
20.9891	-316.8000	-6.7321
21.0899	-316.8000	-6.7302
21.1897	-316.8000	-6.7296
21.2898	-316.8000	-6.7318
21.3909	-316.8000	-6.7287
21.4912	-316.8000	-6.7273
21.5905	-316.8000	-6.7288
21.6912	-316.8000	-6.7289
21.7923	-316.8000	-6.7283
21.8920	-316.8000	-6.7274
21.9932	-316.8000	-6.7258
22.0938	-316.8000	-6.7274
22.1949	-316.8000	-6.7246
22.2963	-316.8000	-6.7241
22.3960	-316.8000	-6.7252
22.4963	-316.8000	-6.7240
22.5955	-316.8000	-6.7228
22.6957	-316.8000	-6.7213
22.7967	-316.8000	-6.7196
22.8971	-316.8000	-6.7227
22.9969	-316.8000	-6.7220
23.0968	-316.8000	-6.7179
23.1974	-316.8000	-6.7166
23.2974	-316.8000	-6.7168
23.3971	-316.8000	-6.7185
23.4983	-316.8000	-6.7150
23.5975	-316.8000	-6.7168
23.6982	-316.8000	-6.7169
23.7978	-316.8000	-6.7130
23.8975	-316.8000	-6.7151
23.9975	-316.8000	-6.7117
24.0983	-316.8000	-6.7119
24.1980	-316.8000	-6.7117
24.2977	-316.8000	-6.7126
24.3986	-316.8000	-6.7136
24.4993	-316.8000	-6.7085
24.5990	-316.8000	-6.7110
24.6993	-316.8000	-6.7069
24.7987	-316.8000	-6.7101
24.8990	-316.8000	-6.7101
24.9988	-316.8000	-6.7092
25.0990	-316.8000	-6.7100
25.1989	-316.8000	-6.7086
25.2989	-316.8000	-6.7084
25.3990	-316.8000	-6.7063
25.4993	-316.8000	-6.7061
25.5985	-316.8000	-6.7067
25.6992	-316.8000	-6.7033
25.7987	-316.8000	-6.7035
25.8993	-316.8000	-6.7035
25.9995	-316.8000	-6.7012
26.0998	-316.8000	-6.7020
26.1998	-316.8000	-6.6992
26.2999	-316.8000	-6.7016
26.3996	-316.8000	-6.6996
26.4999	-316.8000	-6.6990
26.5998	-316.8000	-6.7019
26.6996	-316.8000	-6.7008
26.8005	-316.8000	-6.7000
26.8998	-316.8000	-6.6995
26.9999	-316.8000	-6.7001
27.1010	-316.8000	-6.6995
27.2013	-316.8000	-6.6983
27.3008	-316.8000	-6.6979
27.4009	-316.8000	-6.6964
27.5011	-316.8000	-6.6978
27.6007	-316.8000	-6.6948
27.7012	-316.8000	-6.6977
27.8018	-316.8000	-6.6944
27.9018	-316.8000	-6.6936
28.0019	-316.8000	-6.6923
28.1018	-316.8000	-6.6920
28.2018	-316.8000	-6.6920
28.3017	-316.8000	-6.6904
28.4022	-316.8000	-6.6880
28.5018	-316.8000	-6.6884
28.6019	-316.8000	-6.6881
28.7022	-316.8000	-6.6835
28.8015	-316.8000	-6.6909
28.9031	-316.8000	-6.6855
29.0042	-316.8000	-6.6878
29.1039	-316.8000	-6.6891
29.2043	-316.8000	-6.6889
29.3043	-316.8000	-6.6916
29.4040	-316.8000	-6.6872
29.5037	-316.8000	-6.6895
29.6042	-316.8000	-6.6853
29.7046	-316.8000	-6.6877
29.8063	-316.8000	-6.6868
29.9061	-316.8000	-6.6828
30.0064	-316.8000	-6.6836
30.1060	-316.8000	-6.6844
30.2061	-316.8000	-6.6858
30.3073	-316.8000	-6.6852
30.4075	-316.8000	-6.6857
30.5066	-316.8000	-6.6800
30.6066	-316.8000	-6.6829
30.7068	-316.8000	-6.6817
30.8079	-316.8000	-6.6803
30.9087	-316.8000	-6.6795
31.0095	-316.8000	-6.6789
31.1092	-316.8000	-6.6790
31.2093	-316.8000	-6.6753
31.3086	-316.8000	-6.6755
31.4090	-316.8000	-6.6773
31.5092	-316.8000	-6.6762
31.6094	-316.8000	-6.6740
31.7094	-316.8000	-6.6763
31.8093	-316.8000	-6.6783
31.9095	-316.8000	-6.6718
32.0113	-316.8000	-6.6744
32.1108	-316.8000	-6.6753
32.2123	-316.8000	-6.6738
32.3123	-316.8000	-6.6727
32.4120	-316.8000	-6.6727
32.5121	-316.8000	-6.6698
32.6121	-316.8000	-6.6711
32.7123	-316.8000	-6.6728
32.8118	-316.8000	-6.6713
32.9120	-316.8000	-6.6713
33.0122	-316.8000	-6.6699
33.1130	-316.8000	-6.6708
33.2140	-316.8000	-6.6719
33.3137	-316.8000	-6.6713
33.4147	-316.8000	-6.6715
33.5167	-316.8000	-6.6713
33.6183	-316.8000	-6.6684
33.7180	-316.8000	-6.6667
33.8189	-316.8000	-6.6711
33.9186	-316.8000	-6.6690
34.0199	-316.8000	-6.6675
34.1203	-316.8000	-6.6653
34.2207	-316.8000	-6.6667
34.3206	-316.8000	-6.6632
34.4215	-316.8000	-6.6627
34.5210	-316.8000	-6.6612
34.6207	-316.8000	-6.6674
34.7214	-316.8000	-6.6654
34.8211	-316.8000	-6.6644
34.9213	-316.8000	-6.6644
35.0210	-316.8000	-6.6631
35.1207	-316.8000	-6.6635
35.2214	-316.8000	-6.6625
35.3210	-316.8000	-6.6595
35.4208	-316.8000	-6.6613
35.5214	-316.8000	-6.6630
35.6212	-316.8000	-6.6610
