4/12/2023 2:34:49 pm
Time(s)	Displacement(mm)	Force(N)
0.0000	-276.6000	1.1037
0.1448	-276.6000	1.1043
0.2458	-276.6000	1.1045
0.3457	-276.6000	1.1050
0.4456	-276.6000	1.0986
0.5466	-276.6000	1.1072
0.6464	-276.6000	1.1024
0.7470	-276.6000	1.1059
0.8463	-276.6000	1.1023
0.9467	-276.6000	1.0978
1.0473	-276.6000	1.1018
1.1478	-276.6000	1.1035
1.2478	-276.6000	1.1039
1.3480	-276.6000	1.1032
1.4477	-276.6000	1.1027
1.5476	-276.6000	1.1051
1.6480	-276.6000	1.1001
1.7477	-276.6000	1.1058
1.8477	-276.6000	1.1036
1.9478	-276.6000	1.1048
2.0477	-276.6000	1.1004
2.1476	-276.6000	1.1039
2.2476	-276.6000	1.1015
2.3480	-276.6000	1.1043
2.4482	-276.6000	1.1006
2.5480	-276.6000	1.1037
2.6481	-276.6000	1.1031
2.7480	-276.6000	1.0985
2.8477	-276.6000	1.1026
2.9478	-276.6000	1.1013
3.0476	-276.6000	1.1020
3.1492	-276.6000	1.1032
3.2493	-276.6000	1.1049
3.3508	-276.6000	1.1043
3.4515	-276.6000	1.1026
3.5526	-276.6000	1.1035
3.6524	-276.6000	1.1041
3.7541	-276.6000	1.1014
3.8545	-276.6000	1.1038
3.9544	-276.6000	1.1043
4.0550	-276.6000	1.1049
4.1546	-276.6000	1.1027
4.2556	-276.6000	1.1001
4.3562	-276.6000	1.1046
4.4562	-276.6000	1.1058
4.5567	-276.6000	1.1099
4.6573	-276.6000	1.1032
4.7575	-276.6000	1.1038
4.8576	-276.6000	1.1056
4.9577	-276.6000	1.1044
5.0576	-276.6000	1.1037
5.1573	-276.6000	1.1047
5.2579	-276.6000	1.1056
5.3578	-276.6000	1.1025
5.4581	-276.6000	1.1020
5.5580	-276.6000	1.0980
5.6583	-276.6000	1.1022
5.7597	-276.6000	1.0991
5.8595	-276.6000	1.0970
5.9596	-276.6000	1.1088
6.0600	-276.6000	1.1050
6.1608	-276.6000	1.0987
6.2618	-276.6000	1.1040
6.3620	-276.6000	1.1040
6.4615	-276.6000	1.1048
6.5615	-276.6000	1.0994
6.6617	-276.6000	1.1046
6.7621	-276.6000	1.1043
6.8618	-276.6000	1.1024
6.9615	-276.6000	1.1023
7.0617	-276.6000	1.1096
7.1614	-276.6000	1.0952
7.2620	-276.6000	1.1078
7.3614	-276.6000	1.1027
7.4621	-276.6000	1.1014
7.5621	-276.6000	1.1004
7.6619	-276.6000	1.1090
7.7619	-276.6000	1.1079
